iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0
1,-921.7406005859375,9.725990295410156,-898.7000122070312,0.0,1.0,0.0,24.200000762939453,0.44999998807907104,2.1190569400787354
2,-857.109375,44.99911880493164,-792.5999755859375,0.0,0.8999999761581421,0.10000000149011612,36.599998474121094,1.100000023841858,2.1243810653686523
3,-911.2281494140625,14.604129791259766,-890.7000122070312,0.0,1.0,0.0,26.200000762939453,0.44999998807907104,2.1900172233581543
4,-866.903076171875,15.084540367126465,-835.2000122070312,0.0,0.949999988079071,0.05000000074505806,33.45000076293945,0.6000000238418579,2.2296621799468994
5,-810.9312744140625,21.91126251220703,-775.0,0.0,0.8999999761581421,0.10000000149011612,40.75,1.2000000476837158,2.2858712673187256
6,-892.3218994140625,24.785938262939453,-859.2000122070312,0.0,1.0,0.0,33.45000076293945,0.699999988079071,2.3600986003875732
7,-891.7938232421875,23.26536750793457,-843.0,0.0,0.8999999761581421,0.10000000149011612,25.25,0.6000000238418579,2.4381039142608643
8,-871.9937744140625,36.65301513671875,-816.2999877929688,0.0,0.8999999761581421,0.10000000149011612,31.799999237060547,0.6499999761581421,2.544715404510498
9,-869.3125,31.281251907348633,-825.0999755859375,0.0,0.949999988079071,0.05000000074505806,35.849998474121094,0.6499999761581421,2.564826250076294
10,-849.15625,25.30596160888672,-813.7000122070312,0.0,0.8999999761581421,0.10000000149011612,32.95000076293945,0.44999998807907104,2.5787909030914307
11,-860.0406494140625,27.065662384033203,-826.9000244140625,0.0,0.949999988079071,0.05000000074505806,34.650001525878906,0.949999988079071,2.5873422622680664
12,-912.6437377929688,16.389001846313477,-876.5,0.0,1.0,0.0,29.25,0.6499999761581421,2.647714138031006
13,-885.7249755859375,3.5201234817504883,-875.5999755859375,0.0,1.0,0.0,29.100000381469727,0.800000011920929,2.7399139404296875
14,-893.984375,10.5463285446167,-879.2999877929688,0.0,1.0,0.0,29.299999237060547,0.3499999940395355,2.7829344272613525
15,-892.2281494140625,24.753135681152344,-844.7999877929688,0.0,0.949999988079071,0.05000000074505806,30.549999237060547,0.800000011920929,2.9005162715911865
