iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1
1,47.359375,5.288895130157471,58.5,0.0,0.0,1.0,111.0,16.950000762939453,1.073835015296936,1.128350019454956
2,43.890625,13.078927993774414,63.0,0.0,0.0,1.0,111.0,17.399999618530273,1.2267533540725708,0.9654897451400757
3,38.96520233154297,19.84773826599121,67.0,0.0,0.0,1.0,111.0,17.799999237060547,1.1074295043945312,0.8420587182044983
4,40.04600143432617,20.006473541259766,66.5,0.0,0.0,1.0,111.0,17.75,0.8212823867797852,0.7781017422676086
5,41.708839416503906,9.506378173828125,51.0,0.0,0.0,1.0,111.0,16.200000762939453,0.8875255584716797,0.982843816280365
6,30.015625,8.989997863769531,47.5,0.0,0.0,1.0,111.0,15.850000381469727,1.0824124813079834,0.9099326133728027
7,41.93043518066406,17.766611099243164,63.0,0.0,0.0,1.0,111.0,17.399999618530273,1.0664646625518799,1.0515738725662231
8,47.78125,5.15681791305542,58.0,0.0,0.0,1.0,111.0,16.899999618530273,1.2198760509490967,1.0402045249938965
9,42.578125,6.085471153259277,60.0,0.0,0.0,1.0,111.0,17.100000381469727,1.1132298707962036,0.8892180919647217
10,36.88209533691406,7.864822864532471,51.0,0.0,0.0,1.0,111.0,16.200000762939453,1.243564486503601,0.7455655932426453
11,46.328125,7.50584077835083,60.5,0.0,0.0,1.0,111.0,17.149999618530273,1.188281774520874,0.6274545192718506
12,47.57184600830078,6.657634258270264,57.0,0.0,0.0,1.0,111.0,16.799999237060547,1.1320351362228394,0.5793361067771912
13,20.95516586303711,24.7279052734375,60.0,0.0,0.0,1.0,111.0,17.100000381469727,1.168472170829773,0.5840165615081787
14,49.90931701660156,7.373424530029297,59.0,0.0,0.0,1.0,111.0,17.0,1.0600894689559937,0.6498352885246277
15,51.5672721862793,13.075973510742188,64.0,0.0,0.0,1.0,111.0,17.5,0.8680081963539124,0.6953301429748535
16,36.18539047241211,16.483291625976562,65.5,0.0,0.0,1.0,111.0,17.649999618530273,0.7223193049430847,0.44304290413856506
17,51.1738166809082,23.979108810424805,89.5,0.0,0.0,1.0,111.0,20.049999237060547,0.7230459451675415,0.4886170029640198
18,65.546875,6.220378875732422,80.5,0.0,0.0,1.0,111.0,19.149999618530273,0.8837540149688721,0.4314582943916321
19,32.58441925048828,20.117280960083008,65.5,0.0,0.0,1.0,111.0,17.649999618530273,0.7903023958206177,0.4356299638748169
20,38.134010314941406,18.567598342895508,64.5,0.0,0.0,1.0,111.0,17.549999237060547,0.8238492012023926,0.5565716028213501
21,44.78588104248047,18.064889907836914,68.0,0.0,0.0,1.0,111.0,17.899999618530273,0.8581958413124084,0.32977616786956787
22,40.826576232910156,12.849638938903809,67.0,0.0,0.0,1.0,111.0,17.799999237060547,0.7313988208770752,0.3622620701789856
23,43.64940643310547,18.762466430664062,62.0,0.0,0.0,1.0,111.0,17.299999237060547,0.8403350114822388,0.31087034940719604
24,43.832374572753906,7.951138019561768,50.5,0.0,0.0,1.0,111.0,16.149999618530273,0.8572958111763,0.30348992347717285
25,21.998916625976562,21.744752883911133,70.5,0.0,0.0,1.0,111.0,18.149999618530273,0.8462656140327454,-0.010442763566970825
26,68.37405395507812,7.699803829193115,82.5,0.0,0.0,1.0,111.0,19.350000381469727,0.8205428123474121,-0.04484280198812485
27,63.007179260253906,12.003652572631836,85.0,0.0,0.0,1.0,111.0,19.600000381469727,0.7595557570457458,-0.13157919049263
28,53.02643585205078,11.807209968566895,68.0,0.0,0.0,1.0,111.0,17.899999618530273,0.7504059672355652,-0.09625884890556335
29,29.723155975341797,24.341615676879883,65.5,0.0,0.0,1.0,111.0,17.649999618530273,0.5817426443099976,-0.16713380813598633
