iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1
1,-419.9801940917969,45.5335807800293,-315.26666259765625,0.0,0.25,0.75,268.8500061035156,13.050000190734863,1.2377686500549316,1.0977752208709717
2,-436.14373779296875,46.37480163574219,-369.5,0.0,0.30000001192092896,0.699999988079071,251.25,11.300000190734863,1.3177013397216797,1.194551706314087
3,-528.4947509765625,32.815433502197266,-457.6000061035156,0.0,0.4000000059604645,0.6000000238418579,236.10000610351562,8.5,1.316840410232544,1.2694400548934937
4,-460.6114501953125,65.39437103271484,-357.36663818359375,0.0,0.30000001192092896,0.699999988079071,261.20001220703125,11.850000381469727,1.1063669919967651,1.4491833448410034
5,-454.09478759765625,27.916854858398438,-400.29998779296875,0.0,0.3499999940395355,0.6499999761581421,245.5500030517578,11.100000381469727,1.0716217756271362,1.3381658792495728
6,-363.4552001953125,81.77584838867188,-272.4666442871094,0.0,0.15000000596046448,0.8500000238418579,285.79998779296875,11.199999809265137,0.9502986669540405,1.430190086364746
7,-432.95001220703125,45.99550247192383,-349.13336181640625,0.0,0.25,0.75,258.54998779296875,10.350000381469727,0.8053534626960754,1.3121815919876099
8,-475.78436279296875,75.4315414428711,-336.9333190917969,0.0,0.25,0.75,261.8500061035156,11.350000381469727,0.912330150604248,1.2031874656677246
9,-471.0374755859375,50.5372314453125,-369.5,0.0,0.30000001192092896,0.75,252.0,11.25,0.9972795844078064,1.1149927377700806
10,-401.3448181152344,69.63412475585938,-292.73333740234375,0.0,0.20000000298023224,0.800000011920929,279.3999938964844,12.100000381469727,0.9848085045814514,1.3036160469055176
11,-435.8833312988281,38.168251037597656,-376.20001220703125,0.0,0.30000001192092896,0.699999988079071,258.45001220703125,10.149999618530273,1.087541937828064,1.3580344915390015
12,-485.29168701171875,74.24568939208984,-365.29998779296875,0.0,0.30000001192092896,0.699999988079071,245.5500030517578,12.100000381469727,1.039452314376831,1.4046558141708374
13,-460.9260559082031,70.52811431884766,-344.0,0.0,0.30000001192092896,0.699999988079071,266.25,12.850000381469727,1.080852746963501,1.438239574432373
14,-454.2875061035156,53.395057678222656,-371.26666259765625,0.0,0.30000001192092896,0.699999988079071,244.85000610351562,11.550000190734863,1.041251540184021,1.3602434396743774
15,-481.1197814941406,32.58247375488281,-433.36663818359375,0.0,0.4000000059604645,0.6000000238418579,243.1999969482422,10.449999809265137,1.1123089790344238,1.3940261602401733
16,-522.5,42.09000778198242,-436.7666931152344,0.0,0.4000000059604645,0.6499999761581421,256.1000061035156,9.25,1.1843527555465698,1.2330199480056763
17,-392.7541809082031,47.25724792480469,-288.0333251953125,0.0,0.20000000298023224,0.800000011920929,277.45001220703125,12.699999809265137,1.2441250085830688,1.2343803644180298
18,-425.3989562988281,55.23756790161133,-325.33331298828125,0.0,0.25,0.75,268.0,12.100000381469727,1.3056038618087769,1.2448805570602417
19,-421.79583740234375,53.7467041015625,-318.23333740234375,0.0,0.25,0.75,265.8999938964844,12.949999809265137,1.416639804840088,1.2156068086624146
20,-439.82501220703125,58.782493591308594,-342.5,0.0,0.25,0.75,260.25,10.899999618530273,1.1058248281478882,1.389272689819336
21,-434.3770751953125,49.30047607421875,-334.6333312988281,0.0,0.25,0.75,254.0500030517578,12.100000381469727,1.1552828550338745,1.2326610088348389
22,-434.230224609375,56.900638580322266,-342.3999938964844,0.0,0.25,0.75,257.3999938964844,11.100000381469727,1.241174340248108,1.2442727088928223
23,-448.41143798828125,36.04779815673828,-389.9333190917969,0.0,0.3499999940395355,0.6499999761581421,253.60000610351562,11.600000381469727,1.2072194814682007,1.127285122871399
24,-446.69476318359375,86.92796325683594,-301.73333740234375,0.0,0.25,0.75,265.8999938964844,14.600000381469727,1.0356570482254028,1.1759592294692993
25,-475.9916687011719,48.943485260009766,-359.29998779296875,0.0,0.25,0.75,247.0500030517578,10.100000381469727,0.9229111671447754,1.2870488166809082
26,-421.1437683105469,61.904945373535156,-342.4667053222656,0.0,0.30000001192092896,0.699999988079071,255.8000030517578,13.699999809265137,0.9029296040534973,1.2154510021209717
27,-525.3781127929688,45.2143669128418,-394.36663818359375,0.0,0.3499999940395355,0.6499999761581421,244.6999969482422,11.75,0.8955609202384949,1.3101255893707275
28,-419.167724609375,80.38374328613281,-267.566650390625,0.0,0.20000000298023224,0.800000011920929,291.6499938964844,13.800000190734863,0.8423147201538086,1.371659755706787
29,-364.8343811035156,58.88898468017578,-257.8999938964844,0.0,0.15000000596046448,0.8500000238418579,274.6499938964844,13.399999618530273,0.773750364780426,1.388910174369812
30,-439.60833740234375,140.41102600097656,-244.33334350585938,0.0,0.10000000149011612,0.8999999761581421,285.25,11.550000190734863,0.7293979525566101,1.1663525104522705
31,-432.13751220703125,37.08342742919922,-332.566650390625,0.0,0.25,0.75,255.64999389648438,12.199999809265137,0.7290661334991455,1.077271819114685
32,-451.9781188964844,46.45173263549805,-329.83331298828125,0.0,0.20000000298023224,0.800000011920929,254.5,10.050000190734863,0.767524242401123,1.206059455871582
33,-394.9583435058594,39.2470588684082,-320.933349609375,0.0,0.20000000298023224,0.800000011920929,267.1000061035156,10.100000381469727,0.6288407444953918,1.090639591217041
34,-462.04998779296875,46.26356887817383,-374.4000244140625,0.0,0.30000001192092896,0.699999988079071,252.89999389648438,10.699999809265137,0.5157012343406677,1.135634422302246
35,-423.08123779296875,53.02103805541992,-333.13336181640625,0.0,0.25,0.75,265.29998779296875,11.5,0.7276139855384827,1.2561286687850952
36,-433.7062683105469,50.26014709472656,-343.0333557128906,0.0,0.25,0.75,260.95001220703125,10.800000190734863,0.8354332447052002,1.3364518880844116
