param,value,delta,reward_mean
goal_weight,-2.298,-4.60,-516.802094
goal_weight,-2.068,-4.37,-516.802094
goal_weight,-1.838,-4.14,-516.802094
goal_weight,-1.608,-3.91,-516.802094
goal_weight,-1.379,-3.68,-516.802094
goal_weight,-1.149,-3.45,-516.802094
goal_weight,-0.919,-3.22,-516.802094
goal_weight,-0.689,-2.99,-516.802094
goal_weight,-0.460,-2.76,-501.082094
goal_weight,-0.230,-2.53,-492.107581
goal_weight,0.000,-2.30,-431.780273
goal_weight,0.230,-2.07,-411.234057
goal_weight,0.460,-1.84,-463.570546
goal_weight,0.689,-1.61,-388.730000
goal_weight,0.919,-1.38,-431.932185
goal_weight,1.149,-1.15,-441.262562
goal_weight,1.379,-0.92,-449.451430
goal_weight,1.608,-0.69,-462.981430
goal_weight,1.838,-0.46,-466.221678
goal_weight,2.068,-0.23,-473.641053
goal_weight,2.298,0.00,-451.132185
goal_weight,2.527,0.23,-451.132185
goal_weight,2.757,0.46,-450.122185
goal_weight,2.987,0.69,-450.162185
goal_weight,3.217,0.92,-450.162185
goal_weight,3.447,1.15,-450.162185
goal_weight,3.676,1.38,-450.082185
goal_weight,3.906,1.61,-450.052185
goal_weight,4.136,1.84,-450.052185
goal_weight,4.366,2.07,-449.302185
goal_weight,4.595,2.30,-449.302185
goal_weight,4.825,2.53,-449.302185
goal_weight,5.055,2.76,-449.302185
goal_weight,5.285,2.99,-449.272185
goal_weight,5.515,3.22,-449.272185
goal_weight,5.744,3.45,-449.272185
goal_weight,5.974,3.68,-449.232185
goal_weight,6.204,3.91,-449.232185
goal_weight,6.434,4.14,-449.232185
goal_weight,6.663,4.37,-449.232185
goal_weight,6.893,4.60,-449.232185
pick_weight,-1.166,-2.00,-448.322185
pick_weight,-1.066,-1.90,-448.322185
pick_weight,-0.966,-1.80,-448.322185
pick_weight,-0.866,-1.70,-448.322185
pick_weight,-0.766,-1.60,-448.322185
pick_weight,-0.666,-1.50,-448.322185
pick_weight,-0.566,-1.40,-448.322185
pick_weight,-0.466,-1.30,-448.322185
pick_weight,-0.366,-1.20,-448.322185
pick_weight,-0.266,-1.10,-448.322185
pick_weight,-0.166,-1.00,-448.322185
pick_weight,-0.066,-0.90,-449.072185
pick_weight,0.034,-0.80,-450.042185
pick_weight,0.134,-0.70,-450.162185
pick_weight,0.234,-0.60,-450.162185
pick_weight,0.334,-0.50,-450.162185
pick_weight,0.434,-0.40,-450.162185
pick_weight,0.534,-0.30,-450.162185
pick_weight,0.634,-0.20,-450.162185
pick_weight,0.734,-0.10,-451.132185
pick_weight,0.834,0.00,-451.132185
pick_weight,0.934,0.10,-473.641053
pick_weight,1.034,0.20,-466.221678
pick_weight,1.134,0.30,-466.241430
pick_weight,1.234,0.40,-450.041430
pick_weight,1.334,0.50,-450.041430
pick_weight,1.434,0.60,-449.641430
pick_weight,1.534,0.70,-449.641430
pick_weight,1.634,0.80,-441.002562
pick_weight,1.734,0.90,-441.412562
pick_weight,1.834,1.00,-453.982562
pick_weight,1.934,1.10,-455.892562
pick_weight,2.034,1.20,-449.132185
pick_weight,2.134,1.30,-432.292185
pick_weight,2.234,1.40,-414.782185
pick_weight,2.334,1.50,-413.252185
pick_weight,2.434,1.60,-399.272185
pick_weight,2.534,1.70,-406.490000
pick_weight,2.634,1.80,-407.110000
pick_weight,2.734,1.90,-373.070000
pick_weight,2.834,2.00,-388.650000
drop_weight,-2.000,-2.00,-446.822185
drop_weight,-1.900,-1.90,-446.822185
drop_weight,-1.800,-1.80,-431.582185
drop_weight,-1.700,-1.70,-431.582185
drop_weight,-1.600,-1.60,-431.582185
drop_weight,-1.500,-1.50,-431.582185
drop_weight,-1.400,-1.40,-431.582185
drop_weight,-1.300,-1.30,-433.072185
drop_weight,-1.200,-1.20,-434.172185
drop_weight,-1.100,-1.10,-434.172185
drop_weight,-1.000,-1.00,-434.172185
drop_weight,-0.900,-0.90,-434.172185
drop_weight,-0.800,-0.80,-434.172185
drop_weight,-0.700,-0.70,-434.372185
drop_weight,-0.600,-0.60,-434.372185
drop_weight,-0.500,-0.50,-433.882185
drop_weight,-0.400,-0.40,-449.662185
drop_weight,-0.300,-0.30,-450.232185
drop_weight,-0.200,-0.20,-450.232185
drop_weight,-0.100,-0.10,-450.942185
drop_weight,0.000,0.00,-451.132185
drop_weight,0.100,0.10,-476.051053
drop_weight,0.200,0.20,-448.441430
drop_weight,0.300,0.30,-465.168908
drop_weight,0.400,0.40,-458.152562
drop_weight,0.500,0.50,-453.712185
drop_weight,0.600,0.60,-435.172185
drop_weight,0.700,0.70,-405.732185
drop_weight,0.800,0.80,-419.762185
drop_weight,0.900,0.90,-452.022185
drop_weight,1.000,1.00,-474.855163
drop_weight,1.100,1.10,-511.974889
drop_weight,1.200,1.20,-458.284889
drop_weight,1.300,1.30,-443.720936
drop_weight,1.400,1.40,-445.248882
drop_weight,1.500,1.50,-418.519428
drop_weight,1.600,1.60,-418.519428
drop_weight,1.700,1.70,-409.631547
drop_weight,1.800,1.80,-392.201547
drop_weight,1.900,1.90,-384.092731
drop_weight,2.000,2.00,-383.932731
idle_bias,-1.253,-2.00,-518.185410
idle_bias,-1.153,-1.90,-518.185410
idle_bias,-1.053,-1.80,-518.185410
idle_bias,-0.953,-1.70,-518.185410
idle_bias,-0.853,-1.60,-518.185410
idle_bias,-0.753,-1.50,-518.185410
idle_bias,-0.653,-1.40,-518.185410
idle_bias,-0.553,-1.30,-518.185410
idle_bias,-0.453,-1.20,-518.185410
idle_bias,-0.353,-1.10,-518.185410
idle_bias,-0.253,-1.00,-518.185410
idle_bias,-0.153,-0.90,-518.185410
idle_bias,-0.053,-0.80,-518.185410
idle_bias,0.047,-0.70,-451.132185
idle_bias,0.147,-0.60,-451.132185
idle_bias,0.247,-0.50,-451.132185
idle_bias,0.347,-0.40,-451.132185
idle_bias,0.447,-0.30,-451.132185
idle_bias,0.547,-0.20,-451.132185
idle_bias,0.647,-0.10,-451.132185
idle_bias,0.747,0.00,-451.132185
idle_bias,0.847,0.10,-451.132185
idle_bias,0.947,0.20,-451.132185
idle_bias,1.047,0.30,-451.032185
idle_bias,1.147,0.40,-451.032185
idle_bias,1.247,0.50,-451.032185
idle_bias,1.347,0.60,-451.032185
idle_bias,1.447,0.70,-451.032185
idle_bias,1.547,0.80,-451.032185
idle_bias,1.647,0.90,-451.032185
idle_bias,1.747,1.00,-451.032185
idle_bias,1.847,1.10,-451.032185
idle_bias,1.947,1.20,-451.032185
idle_bias,2.047,1.30,-451.032185
idle_bias,2.147,1.40,-451.032185
idle_bias,2.247,1.50,-451.032185
idle_bias,2.347,1.60,-451.032185
idle_bias,2.447,1.70,-451.032185
idle_bias,2.547,1.80,-451.032185
idle_bias,2.647,1.90,-451.032185
idle_bias,2.747,2.00,-451.032185
idle_penalty,-1001.939,-2003.88,-480.322185
idle_penalty,-901.745,-1903.68,-480.322185
idle_penalty,-801.551,-1803.49,-480.322185
idle_penalty,-701.357,-1703.30,-480.322185
idle_penalty,-601.163,-1603.10,-480.322185
idle_penalty,-500.969,-1502.91,-480.322185
idle_penalty,-400.776,-1402.71,-480.322185
idle_penalty,-300.582,-1302.52,-480.322185
idle_penalty,-200.388,-1202.33,-480.322185
idle_penalty,-100.194,-1102.13,-480.322185
idle_penalty,0.000,-1001.94,-480.322185
idle_penalty,100.194,-901.75,-480.292185
idle_penalty,200.388,-801.55,-464.572185
idle_penalty,300.582,-701.36,-463.762185
idle_penalty,400.776,-601.16,-450.202185
idle_penalty,500.969,-500.97,-450.272185
idle_penalty,601.163,-400.78,-451.052185
idle_penalty,701.357,-300.58,-451.132185
idle_penalty,801.551,-200.39,-451.132185
idle_penalty,901.745,-100.19,-451.132185
idle_penalty,1001.939,0.00,-451.132185
idle_penalty,1102.133,100.19,-450.602185
idle_penalty,1202.327,200.39,-450.602185
idle_penalty,1302.521,300.58,-450.602185
idle_penalty,1402.715,400.78,-450.412185
idle_penalty,1502.908,500.97,-450.412185
idle_penalty,1603.102,601.16,-450.412185
idle_penalty,1703.296,701.36,-450.412185
idle_penalty,1803.490,801.55,-450.412185
idle_penalty,1903.684,901.75,-450.412185
idle_penalty,2003.878,1001.94,-450.412185
idle_penalty,2104.072,1102.13,-450.412185
idle_penalty,2204.266,1202.33,-450.412185
idle_penalty,2304.460,1302.52,-450.412185
idle_penalty,2404.654,1402.71,-450.412185
idle_penalty,2504.847,1502.91,-450.412185
idle_penalty,2605.041,1603.10,-450.412185
idle_penalty,2705.235,1703.30,-450.412185
idle_penalty,2805.429,1803.49,-450.412185
idle_penalty,2905.623,1903.68,-450.412185
idle_penalty,3005.817,2003.88,-450.412185
step_tolerance,-7.684,-15.37,-1018.983056
step_tolerance,-6.916,-14.60,-1018.983056
step_tolerance,-6.147,-13.83,-1018.983056
step_tolerance,-5.379,-13.06,-1018.983056
step_tolerance,-4.611,-12.29,-1018.983056
step_tolerance,-3.842,-11.53,-1018.983056
step_tolerance,-3.074,-10.76,-1018.983056
step_tolerance,-2.305,-9.99,-1018.983056
step_tolerance,-1.537,-9.22,-1018.983056
step_tolerance,-0.768,-8.45,-1018.983056
step_tolerance,0.000,-7.68,-1019.003303
step_tolerance,0.768,-6.92,-1019.003303
step_tolerance,1.537,-6.15,-1018.569077
step_tolerance,2.305,-5.38,-1015.566307
step_tolerance,3.074,-4.61,-1002.077152
step_tolerance,3.842,-3.84,-1002.077152
step_tolerance,4.611,-3.07,-693.161495
step_tolerance,5.379,-2.31,-670.971547
step_tolerance,6.147,-1.54,-474.196359
step_tolerance,6.916,-0.77,-474.196359
step_tolerance,7.684,0.00,-451.132185
step_tolerance,8.453,0.77,-565.548088
step_tolerance,9.221,1.54,-477.972354
step_tolerance,9.990,2.31,-477.972354
step_tolerance,10.758,3.07,-490.246866
step_tolerance,11.526,3.84,-513.302510
step_tolerance,12.295,4.61,-549.337191
step_tolerance,13.063,5.38,-562.871495
step_tolerance,13.832,6.15,-562.871495
