param,value,delta,reward_mean
goal_weight,-2.000,-2.00,-140.581489
goal_weight,-1.900,-1.90,-140.581489
goal_weight,-1.800,-1.80,-133.034255
goal_weight,-1.700,-1.70,-133.034255
goal_weight,-1.600,-1.60,-133.034255
goal_weight,-1.500,-1.50,-135.638936
goal_weight,-1.400,-1.40,-135.948936
goal_weight,-1.300,-1.30,-141.816170
goal_weight,-1.200,-1.20,-141.816170
goal_weight,-1.100,-1.10,-141.816170
goal_weight,-1.000,-1.00,-141.816170
goal_weight,-0.900,-0.90,-122.856170
goal_weight,-0.800,-0.80,-122.826170
goal_weight,-0.700,-0.70,-122.886170
goal_weight,-0.600,-0.60,-124.199574
goal_weight,-0.500,-0.50,-114.127234
goal_weight,-0.400,-0.40,-130.156170
goal_weight,-0.300,-0.30,-129.977021
goal_weight,-0.200,-0.20,-118.990426
goal_weight,-0.100,-0.10,-126.048936
goal_weight,0.000,0.00,-78.211489
goal_weight,0.100,0.10,-116.915319
goal_weight,0.200,0.20,-134.277234
goal_weight,0.300,0.30,-140.198723
goal_weight,0.400,0.40,-129.473617
goal_weight,0.500,0.50,-138.826383
goal_weight,0.600,0.60,-133.904894
goal_weight,0.700,0.70,-142.083617
goal_weight,0.800,0.80,-145.175957
goal_weight,0.900,0.90,-158.535532
goal_weight,1.000,1.00,-165.540213
goal_weight,1.100,1.10,-148.693191
goal_weight,1.200,1.20,-174.784255
goal_weight,1.300,1.30,-185.985106
goal_weight,1.400,1.40,-163.911489
goal_weight,1.500,1.50,-152.240851
goal_weight,1.600,1.60,-148.560000
goal_weight,1.700,1.70,-134.093191
goal_weight,1.800,1.80,-133.628723
goal_weight,1.900,1.90,-157.623191
goal_weight,2.000,2.00,-143.431277
pick_weight,-2.000,-2.00,-2.731277
pick_weight,-1.900,-1.90,-12.759787
pick_weight,-1.800,-1.80,-26.810213
pick_weight,-1.700,-1.70,-51.137872
pick_weight,-1.600,-1.60,-40.955957
pick_weight,-1.500,-1.50,-44.323191
pick_weight,-1.400,-1.40,-27.256383
pick_weight,-1.300,-1.30,-27.686596
pick_weight,-1.200,-1.20,-37.433830
pick_weight,-1.100,-1.10,-38.506596
pick_weight,-1.000,-1.00,-27.758298
pick_weight,-0.900,-0.90,-23.342128
pick_weight,-0.800,-0.80,-29.368936
pick_weight,-0.700,-0.70,-20.437660
pick_weight,-0.600,-0.60,-30.663617
pick_weight,-0.500,-0.50,-22.118511
pick_weight,-0.400,-0.40,-45.696170
pick_weight,-0.300,-0.30,-58.253191
pick_weight,-0.200,-0.20,-57.725319
pick_weight,-0.100,-0.10,-65.278511
pick_weight,0.000,0.00,-78.211489
pick_weight,0.100,0.10,-51.364681
pick_weight,0.200,0.20,-58.640638
pick_weight,0.300,0.30,-60.673191
pick_weight,0.400,0.40,-62.877660
pick_weight,0.500,0.50,-40.006596
pick_weight,0.600,0.60,-45.930213
pick_weight,0.700,0.70,-54.894255
pick_weight,0.800,0.80,-49.060638
pick_weight,0.900,0.90,-87.298511
pick_weight,1.000,1.00,-105.408085
pick_weight,1.100,1.10,-104.266383
pick_weight,1.200,1.20,-113.217660
pick_weight,1.300,1.30,-111.517447
pick_weight,1.400,1.40,-103.658085
pick_weight,1.500,1.50,-112.891064
pick_weight,1.600,1.60,-112.441064
pick_weight,1.700,1.70,-102.641489
pick_weight,1.800,1.80,-119.404468
pick_weight,1.900,1.90,-121.003617
pick_weight,2.000,2.00,-121.263617
drop_weight,-2.377,-4.75,-10.109787
drop_weight,-2.139,-4.52,-10.129787
drop_weight,-1.902,-4.28,-10.129787
drop_weight,-1.664,-4.04,-10.129787
drop_weight,-1.426,-3.80,-17.107872
drop_weight,-1.189,-3.57,-3.142553
drop_weight,-0.951,-3.33,-5.718723
drop_weight,-0.713,-3.09,-21.306809
drop_weight,-0.475,-2.85,-77.936809
drop_weight,-0.238,-2.61,41.388511
drop_weight,0.000,-2.38,-20.448723
drop_weight,0.238,-2.14,-104.746383
drop_weight,0.475,-1.90,-85.118936
drop_weight,0.713,-1.66,-58.480851
drop_weight,0.951,-1.43,-40.383191
drop_weight,1.189,-1.19,-48.964681
drop_weight,1.426,-0.95,-57.283404
drop_weight,1.664,-0.71,-57.193404
drop_weight,1.902,-0.48,-57.193404
drop_weight,2.139,-0.24,-68.495106
drop_weight,2.377,0.00,-78.211489
drop_weight,2.615,0.24,-84.211489
drop_weight,2.852,0.48,-84.081489
drop_weight,3.090,0.71,-84.051489
drop_weight,3.328,0.95,-75.942766
drop_weight,3.566,1.19,-76.002766
drop_weight,3.803,1.43,-75.962766
drop_weight,4.041,1.66,-75.962766
drop_weight,4.279,1.90,-75.962766
drop_weight,4.516,2.14,-75.962766
drop_weight,4.754,2.38,-76.042766
drop_weight,4.992,2.61,-76.042766
drop_weight,5.229,2.85,-76.042766
drop_weight,5.467,3.09,-76.042766
drop_weight,5.705,3.33,-76.092766
drop_weight,5.943,3.57,-76.092766
drop_weight,6.180,3.80,-76.092766
drop_weight,6.418,4.04,-76.092766
drop_weight,6.656,4.28,-76.092766
drop_weight,6.893,4.52,-67.910213
drop_weight,7.131,4.75,-77.150426
idle_bias,-3.465,-6.93,-56.045745
idle_bias,-3.118,-6.58,-56.115745
idle_bias,-2.772,-6.24,-56.285745
idle_bias,-2.425,-5.89,-56.285745
idle_bias,-2.079,-5.54,-56.285745
idle_bias,-1.732,-5.20,-56.285745
idle_bias,-1.386,-4.85,-65.006383
idle_bias,-1.039,-4.50,-65.006383
idle_bias,-0.693,-4.16,-65.006383
idle_bias,-0.346,-3.81,-65.006383
idle_bias,0.000,-3.46,-87.803191
idle_bias,0.346,-3.12,-96.129574
idle_bias,0.693,-2.77,-78.661064
idle_bias,1.039,-2.43,-77.270426
idle_bias,1.386,-2.08,-76.212766
idle_bias,1.732,-1.73,-76.212766
idle_bias,2.079,-1.39,-76.132766
idle_bias,2.425,-1.04,-76.172766
idle_bias,2.772,-0.69,-84.251489
idle_bias,3.118,-0.35,-84.211489
idle_bias,3.465,0.00,-78.211489
idle_bias,3.811,0.35,-68.495106
idle_bias,4.158,0.69,-57.293404
idle_bias,4.504,1.04,-57.193404
idle_bias,4.851,1.39,-57.193404
idle_bias,5.197,1.73,-57.283404
