iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0
1,-756.4906616210938,145.44293212890625,-511.6000061035156,0.0,0.6499999761581421,0.3499999940395355,57.849998474121094,8.199999809265137,2.3698534965515137
2,-511.6812438964844,43.57191848754883,-426.0,0.0,0.550000011920929,0.44999998807907104,65.0,8.899999618530273,2.3981821537017822
3,-450.828125,71.23760223388672,-340.3999938964844,0.0,0.5,0.5,75.4000015258789,10.800000190734863,2.4145560264587402
4,-452.5062255859375,42.38599395751953,-370.8999938964844,0.0,0.550000011920929,0.44999998807907104,77.6500015258789,9.350000381469727,2.4423677921295166
5,-464.953125,32.50057601928711,-403.29998779296875,0.0,0.550000011920929,0.44999998807907104,70.30000305175781,9.050000190734863,2.449347496032715
6,-410.8187561035156,51.64371871948242,-319.6000061035156,0.0,0.4000000059604645,0.6000000238418579,74.3499984741211,8.300000190734863,2.460507869720459
7,-465.6656188964844,63.94900131225586,-320.6000061035156,0.0,0.44999998807907104,0.550000011920929,75.0999984741211,10.399999618530273,2.496983051300049
8,-459.1875,93.37263488769531,-289.8999938964844,0.0,0.4000000059604645,0.6000000238418579,77.9000015258789,9.850000381469727,2.5360021591186523
9,-532.903076171875,84.039306640625,-344.1000061035156,0.0,0.44999998807907104,0.550000011920929,71.8499984741211,9.350000381469727,2.5555553436279297
10,-478.7969055175781,50.55632019042969,-395.5,0.0,0.550000011920929,0.44999998807907104,70.25,9.850000381469727,2.5616557598114014
11,-553.4063110351562,45.11919403076172,-497.5,0.0,0.6499999761581421,0.3499999940395355,61.25,8.25,2.5714070796966553
12,-523.71875,87.58950805664062,-360.5,0.0,0.5,0.5,73.75,9.449999809265137,2.6429431438446045
13,-463.54998779296875,41.72185516357422,-369.20001220703125,0.0,0.5,0.5,71.69999694824219,9.399999618530273,2.7368857860565186
14,-445.68438720703125,41.93950271606445,-356.0,0.0,0.5,0.5,72.75,10.300000190734863,2.7956836223602295
15,-487.7093505859375,79.95257568359375,-341.5,0.0,0.44999998807907104,0.550000011920929,71.5,9.75,2.9140233993530273
16,-376.25,198.5164337158203,20.0,0.0,0.05000000074505806,0.949999988079071,99.0,14.899999618530273,3.1516284942626953
17,21.059375762939453,115.71307373046875,61.5,0.0,0.0,1.0,100.0,16.149999618530273,3.263484001159668
18,56.640625,7.48982048034668,67.5,0.0,0.0,1.0,100.0,16.75,3.197038173675537
19,28.640625,15.91257095336914,56.0,0.0,0.0,1.0,100.0,15.600000381469727,3.2574009895324707
20,40.796875,7.673879623413086,56.5,0.0,0.0,1.0,100.0,15.649999618530273,3.2109129428863525
