iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2
1,-83.4437484741211,326.5909118652344,94.0,0.0,0.0,1.0,100.0,19.399999618530273,3.438628911972046,0.9479129910469055,1.1093865633010864
2,67.3062515258789,13.891497611999512,84.5,0.0,0.0,1.0,100.0,18.450000762939453,3.3334479331970215,1.021958589553833,1.1693933010101318
3,73.49687194824219,17.712909698486328,94.5,0.0,0.0,1.0,100.0,19.450000762939453,3.337437152862549,1.0062918663024902,1.3970577716827393
4,47.006248474121094,31.38371467590332,86.5,0.0,0.0,1.0,100.0,18.649999618530273,3.271178722381592,1.1444406509399414,1.5717109441757202
5,61.556251525878906,25.77606773376465,96.5,0.0,0.0,1.0,100.0,19.649999618530273,3.4226462841033936,1.1368690729141235,1.7390565872192383
6,-41.17499923706055,46.95980453491211,46.70000076293945,0.0,0.05000000074505806,0.949999988079071,97.30000305175781,18.25,3.527172565460205,1.0127540826797485,1.9648277759552002
7,62.19062423706055,26.25032615661621,94.0,0.0,0.0,1.0,100.0,19.399999618530273,3.5371670722961426,1.3177739381790161,2.0404999256134033
8,79.63436889648438,16.8878231048584,96.5,0.0,0.0,1.0,100.0,19.649999618530273,3.683309316635132,1.4719103574752808,1.8566389083862305
9,80.25624084472656,16.52976417541504,99.0,0.0,0.0,1.0,100.0,19.899999618530273,3.814990282058716,1.4292562007904053,1.8954418897628784
10,53.06562423706055,26.90157699584961,93.0,0.0,0.0,1.0,100.0,19.299999237060547,3.824018716812134,1.258264183998108,1.8621238470077515
11,88.140625,7.698654651641846,99.5,0.0,0.0,1.0,100.0,19.950000762939453,3.8655850887298584,1.5379654169082642,1.8936612606048584
12,62.265625,33.07755661010742,102.0,0.0,0.0,1.0,100.0,20.200000762939453,4.078895568847656,1.5916389226913452,1.9398785829544067
13,73.25312805175781,22.6113338470459,102.5,0.0,0.0,1.0,100.0,20.25,3.9148988723754883,1.5756301879882812,1.8460856676101685
14,80.11250305175781,23.122970581054688,105.0,0.0,0.0,1.0,100.0,20.5,3.789308786392212,1.648308515548706,1.904201865196228
15,88.83125305175781,14.631269454956055,100.5,0.0,0.0,1.0,100.0,20.049999237060547,3.688797950744629,1.9360803365707397,1.7060327529907227
16,72.33125305175781,21.196128845214844,96.5,0.0,0.0,1.0,100.0,19.649999618530273,3.6606149673461914,2.015159845352173,1.9457471370697021
17,95.34375,8.482000350952148,113.5,0.0,0.0,1.0,100.0,21.350000381469727,3.6983535289764404,2.031531810760498,2.0196149349212646
18,72.5718765258789,21.310110092163086,90.0,0.0,0.0,1.0,100.0,19.0,3.6689035892486572,2.183500051498413,1.9285846948623657
19,60.94062805175781,21.65106773376465,97.5,0.0,0.0,1.0,100.0,19.75,3.5305705070495605,2.2969818115234375,2.077224016189575
20,61.88750076293945,19.143335342407227,102.5,0.0,0.0,1.0,100.0,20.25,3.562244415283203,2.3711979389190674,2.2217342853546143
21,90.5218734741211,8.004831314086914,99.5,0.0,0.0,1.0,100.0,19.950000762939453,3.653191566467285,2.4239590167999268,2.2212955951690674
22,94.609375,5.81986665725708,104.0,0.0,0.0,1.0,100.0,20.399999618530273,3.65270733833313,2.4381449222564697,2.201608180999756
23,75.49687194824219,16.376115798950195,107.5,0.0,0.0,1.0,100.0,20.75,3.4711363315582275,2.4599366188049316,2.1311285495758057
24,74.65312194824219,16.69198989868164,100.5,0.0,0.0,1.0,100.0,20.049999237060547,3.502185106277466,2.5064947605133057,2.0767979621887207
25,65.15312957763672,13.79023551940918,89.0,0.0,0.0,1.0,100.0,18.899999618530273,3.580505609512329,2.5107412338256836,2.098154067993164
26,88.09375,13.640151023864746,99.5,0.0,0.0,1.0,100.0,19.950000762939453,3.5418200492858887,2.4730916023254395,2.137938976287842
27,96.41874694824219,12.445391654968262,111.0,0.0,0.0,1.0,100.0,21.100000381469727,3.4566383361816406,2.5353469848632812,2.1698317527770996
28,94.7406234741211,9.08043384552002,100.5,0.0,0.0,1.0,100.0,20.049999237060547,3.4680936336517334,2.582106590270996,2.3320512771606445
29,82.02812194824219,17.033977508544922,99.5,0.0,0.0,1.0,100.0,19.950000762939453,3.4096853733062744,2.551975965499878,2.327327013015747
30,35.609375,23.43004608154297,59.0,0.0,0.05000000074505806,0.949999988079071,97.0,19.600000381469727,3.4153780937194824,2.495765209197998,2.2229604721069336
31,86.640625,14.63503646850586,101.0,0.0,0.0,1.0,100.0,20.100000381469727,3.498605728149414,2.297306537628174,2.304788589477539
32,45.990623474121094,23.516992568969727,100.0,0.0,0.0,1.0,100.0,20.0,3.506791591644287,2.2242624759674072,2.361117362976074
33,78.13436889648438,13.303302764892578,99.5,0.0,0.0,1.0,100.0,19.950000762939453,3.551847219467163,2.174060583114624,2.29020094871521
34,73.14374542236328,21.11832618713379,103.0,0.0,0.0,1.0,100.0,20.299999237060547,3.6311874389648438,2.1835036277770996,2.233400344848633
35,33.618751525878906,46.99431228637695,104.0,0.0,0.0,1.0,100.0,20.399999618530273,3.6170270442962646,2.1747288703918457,2.098066568374634
36,61.537498474121094,26.2553653717041,92.5,0.0,0.0,1.0,100.0,19.25,3.5921504497528076,2.267263889312744,1.8449642658233643
37,78.8062515258789,18.46141242980957,101.0,0.0,0.0,1.0,100.0,20.100000381469727,3.5399422645568848,2.2508416175842285,1.882130742073059
