iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0
1,-721.1940307617188,60.6318359375,-610.2472534179688,0.20000000298023224,0.05000000074505806,0.75,299.45001220703125,10.899999618530273,3.6972973346710205
2,-665.8795166015625,116.33683013916016,-412.7432556152344,0.44999998807907104,0.25,0.30000001192092896,160.5,13.600000381469727,3.5752179622650146
3,-654.4409790039062,53.94732666015625,-524.1270751953125,0.30000001192092896,0.20000000298023224,0.5,219.60000610351562,13.5,3.673764228820801
4,-708.2267456054688,60.447391510009766,-580.2877807617188,0.25,0.20000000298023224,0.550000011920929,225.9499969482422,11.600000381469727,3.7028968334198
5,-671.6030883789062,79.11739349365234,-535.631103515625,0.30000001192092896,0.15000000596046448,0.550000011920929,230.5500030517578,11.600000381469727,3.807569742202759
6,-673.9544677734375,77.07784271240234,-498.2837829589844,0.3499999940395355,0.25,0.4000000059604645,185.0,12.800000190734863,3.749715805053711
7,-690.4039306640625,60.77769470214844,-522.2418823242188,0.30000001192092896,0.20000000298023224,0.5,218.85000610351562,13.600000381469727,3.7573087215423584
8,-725.3734130859375,46.57952880859375,-636.404052734375,0.20000000298023224,0.20000000298023224,0.6000000238418579,243.35000610351562,10.350000381469727,3.6533210277557373
9,-718.1557006835938,32.80470657348633,-662.3919067382812,0.15000000596046448,0.10000000149011612,0.75,296.5,10.600000381469727,3.698960304260254
10,-757.630859375,35.1788330078125,-681.5297241210938,0.15000000596046448,0.20000000298023224,0.6499999761581421,258.79998779296875,9.699999809265137,3.709712505340576
11,-720.4039306640625,44.558292388916016,-628.0743408203125,0.20000000298023224,0.25,0.550000011920929,228.25,11.199999809265137,3.6976356506347656
12,-706.5770874023438,72.23187255859375,-517.1837768554688,0.30000001192092896,0.10000000149011612,0.6000000238418579,252.89999389648438,12.699999809265137,3.7112984657287598
13,-707.7342529296875,49.34251022338867,-621.9729614257812,0.20000000298023224,0.15000000596046448,0.6499999761581421,262.0,10.800000190734863,3.73224139213562
14,-713.7679443359375,39.078216552734375,-622.7527465820312,0.20000000298023224,0.10000000149011612,0.699999988079071,281.04998779296875,10.350000381469727,3.6763999462127686
15,-708.3536376953125,35.946685791015625,-644.060791015625,0.20000000298023224,0.25,0.550000011920929,235.25,9.949999809265137,3.6982452869415283
16,-731.26123046875,54.27829360961914,-632.9891357421875,0.20000000298023224,0.25,0.550000011920929,227.8000030517578,11.149999618530273,3.743514060974121
17,-715.53564453125,74.03459930419922,-594.4229736328125,0.25,0.25,0.5,218.4499969482422,11.449999809265137,3.6205174922943115
18,-757.18603515625,45.38495635986328,-687.7742919921875,0.15000000596046448,0.25,0.6000000238418579,242.4499969482422,9.399999618530273,3.587510585784912
19,-734.1142578125,36.85111999511719,-654.70947265625,0.15000000596046448,0.20000000298023224,0.6499999761581421,259.25,11.899999618530273,3.509748697280884
20,-732.7562255859375,37.55097198486328,-657.52294921875,0.15000000596046448,0.20000000298023224,0.6499999761581421,260.54998779296875,12.100000381469727,3.6295571327209473
