iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0
1,-289.68182373046875,39.05256271362305,-224.9499969482422,0.6499999761581421,0.0,0.3499999940395355,177.9499969482422,12.800000190734863,3.7112228870391846
2,-133.06137084960938,47.482574462890625,-53.1756706237793,0.8500000238418579,0.05000000074505806,0.10000000149011612,94.5,13.699999809265137,3.70223069190979
3,-295.781005859375,36.67972183227539,-193.1432342529297,0.699999988079071,0.05000000074505806,0.25,145.89999389648438,12.350000381469727,3.6316721439361572
4,-260.15716552734375,37.840118408203125,-176.57296752929688,0.699999988079071,0.05000000074505806,0.25,144.60000610351562,13.850000381469727,3.781350612640381
5,-204.7469482421875,138.25851440429688,26.600000381469727,0.949999988079071,0.0,0.05000000074505806,82.4000015258789,13.399999618530273,3.642096996307373
6,-198.41250610351562,59.52238082885742,-98.30000305175781,0.800000011920929,0.0,0.20000000298023224,127.30000305175781,12.899999618530273,3.695106267929077
7,-184.58897399902344,33.040374755859375,-118.10404968261719,0.800000011920929,0.10000000149011612,0.10000000149011612,99.55000305175781,12.800000190734863,3.5548391342163086
8,-299.92132568359375,38.69719696044922,-232.5108184814453,0.6499999761581421,0.05000000074505806,0.30000001192092896,154.6999969482422,12.050000190734863,3.610663414001465
9,-227.4931640625,47.64548873901367,-135.35000610351562,0.75,0.0,0.25,146.85000610351562,13.649999618530273,3.4915692806243896
10,-288.7259521484375,68.27455139160156,-218.75,0.6499999761581421,0.05000000074505806,0.30000001192092896,155.25,13.149999618530273,3.522101402282715
11,-313.8097229003906,76.2350845336914,-142.1999969482422,0.75,0.0,0.25,142.1999969482422,12.5,3.574265718460083
12,-275.1031494140625,64.45825958251953,-180.60000610351562,0.699999988079071,0.0,0.30000001192092896,161.10000610351562,13.050000190734863,3.6029930114746094
13,-309.7875061035156,85.12944030761719,-171.0500030517578,0.699999988079071,0.0,0.30000001192092896,156.0500030517578,13.5,3.5698230266571045
14,-279.0117492675781,37.3102912902832,-228.39999389648438,0.6499999761581421,0.0,0.3499999940395355,177.39999389648438,12.399999618530273,3.451626777648926
15,-264.675048828125,51.08172607421875,-178.29458618164062,0.699999988079071,0.05000000074505806,0.25,140.6999969482422,13.449999809265137,3.5043089389801025
16,-271.8343505859375,49.703609466552734,-136.14999389648438,0.75,0.0,0.25,140.64999389648438,12.949999809265137,3.720684051513672
17,-144.06964111328125,31.82318687438965,-93.80000305175781,0.800000011920929,0.0,0.20000000298023224,126.80000305175781,13.300000190734863,3.691354990005493
18,-137.1763916015625,48.10272979736328,-58.79999923706055,0.8500000238418579,0.0,0.15000000596046448,117.80000305175781,13.399999618530273,3.8056633472442627
19,-233.57546997070312,82.39189910888672,-99.25,0.800000011920929,0.0,0.20000000298023224,129.75,13.050000190734863,3.5523128509521484
20,-177.4609375,59.28248596191406,-99.80000305175781,0.800000011920929,0.0,0.20000000298023224,132.8000030517578,13.300000190734863,3.649247646331787
21,-252.33209228515625,66.52777862548828,-135.6999969482422,0.75,0.0,0.25,141.1999969482422,13.050000190734863,3.704218864440918
22,-246.16444396972656,66.02340698242188,-133.5500030517578,0.75,0.0,0.25,143.5500030517578,13.5,3.69684100151062
23,-263.0707702636719,58.36360549926758,-138.35000610351562,0.75,0.0,0.25,142.85000610351562,12.949999809265137,3.6406140327453613
24,-198.573486328125,57.55492401123047,-75.61351013183594,0.8500000238418579,0.10000000149011612,0.05000000074505806,78.5999984741211,12.649999618530273,3.599923610687256
25,-232.28897094726562,67.21612548828125,-142.39999389648438,0.75,0.0,0.25,145.39999389648438,12.800000190734863,3.5894241333007812
26,-311.8359375,64.8465805053711,-180.1999969482422,0.699999988079071,0.0,0.30000001192092896,156.6999969482422,12.649999618530273,3.610917568206787
27,-243.76815795898438,83.01737976074219,-133.64999389648438,0.75,0.0,0.25,146.64999389648438,13.800000190734863,3.6424453258514404
28,-273.1011047363281,55.80048751831055,-193.12838745117188,0.699999988079071,0.05000000074505806,0.25,140.25,12.050000190734863,3.710583448410034
29,-322.15679931640625,60.635108947753906,-235.75,0.6499999761581421,0.0,0.3499999940395355,172.75,11.199999809265137,3.7765722274780273
30,-340.5334167480469,96.92153930664062,-177.60000610351562,0.699999988079071,0.0,0.30000001192092896,155.10000610351562,12.75,3.799583673477173
31,-161.2958984375,87.2879638671875,-54.54999923706055,0.8500000238418579,0.0,0.15000000596046448,111.55000305175781,13.199999809265137,3.695486545562744
32,-263.0845642089844,77.84290313720703,-60.698646545410156,0.8500000238418579,0.05000000074505806,0.10000000149011612,94.05000305175781,12.949999809265137,3.6926443576812744
33,-277.83050537109375,26.430233001708984,-231.90676879882812,0.6499999761581421,0.05000000074505806,0.30000001192092896,159.14999389648438,12.399999618530273,3.758979082107544
34,-173.47592163085938,54.54057693481445,-100.037841796875,0.800000011920929,0.05000000074505806,0.15000000596046448,114.69999694824219,13.5,3.684520959854126
35,-184.40802001953125,103.70702362060547,-19.348644256591797,0.8999999761581421,0.05000000074505806,0.05000000074505806,80.69999694824219,13.5,3.80705189704895
36,-220.0758819580078,74.80458068847656,-92.5,0.800000011920929,0.0,0.20000000298023224,128.0,13.550000190734863,3.8273112773895264
37,-195.11380004882812,90.48043823242188,-94.30000305175781,0.800000011920929,0.0,0.20000000298023224,128.8000030517578,13.449999809265137,3.6345303058624268
38,-237.7813720703125,67.85104370117188,-95.94999694824219,0.800000011920929,0.0,0.20000000298023224,126.44999694824219,13.050000190734863,3.647944927215576
39,-261.7027587890625,56.13545608520508,-138.8000030517578,0.75,0.0,0.25,142.8000030517578,12.899999618530273,3.652562379837036
40,-265.8841552734375,75.89310455322266,-142.26620483398438,0.75,0.05000000074505806,0.20000000298023224,125.55000305175781,13.199999809265137,3.645113468170166
41,-209.3212890625,80.571533203125,-54.349998474121094,0.8500000238418579,0.0,0.15000000596046448,108.8499984741211,12.949999809265137,3.7447071075439453
42,-192.96115112304688,58.779781341552734,-90.44999694824219,0.800000011920929,0.0,0.20000000298023224,129.4499969482422,13.899999618530273,3.799873113632202
43,-234.74462890625,92.16757202148438,-114.89864349365234,0.800000011920929,0.10000000149011612,0.10000000149011612,95.75,12.699999809265137,3.678656816482544
44,-205.4328155517578,56.06426239013672,-134.5500030517578,0.75,0.0,0.25,144.5500030517578,13.5,3.7616066932678223
45,-146.6671905517578,39.24358367919922,-91.0999984741211,0.800000011920929,0.0,0.20000000298023224,130.10000610351562,13.899999618530273,3.872555732727051
46,-274.6685485839844,72.06556701660156,-182.25,0.699999988079071,0.0,0.30000001192092896,156.25,12.399999618530273,3.7035326957702637
47,-240.65249633789062,76.75052642822266,-107.30000305175781,0.800000011920929,0.0,0.20000000298023224,130.3000030517578,12.300000190734863,3.501206636428833
48,-214.30262756347656,45.56112289428711,-148.10540771484375,0.75,0.10000000149011612,0.15000000596046448,122.69999694824219,13.0,3.538349151611328
49,-158.81719970703125,29.591716766357422,-99.55000305175781,0.800000011920929,0.0,0.20000000298023224,132.5500030517578,13.300000190734863,3.6239407062530518
50,-119.52040100097656,56.77006149291992,-48.650001525878906,0.8500000238418579,0.0,0.15000000596046448,113.1500015258789,13.949999809265137,3.5644853115081787
51,-298.5207214355469,98.94922637939453,-136.89999389648438,0.75,0.0,0.25,143.89999389648438,13.199999809265137,3.543987512588501
52,-204.5668182373047,79.6529541015625,-57.5,0.8500000238418579,0.0,0.15000000596046448,117.5,13.5,3.5850670337677
53,-128.1506805419922,42.12028121948242,-57.93107986450195,0.8500000238418579,0.05000000074505806,0.10000000149011612,93.8499984741211,13.449999809265137,3.6798746585845947
54,-226.80502319335938,103.29619598388672,-57.5,0.8500000238418579,0.0,0.15000000596046448,115.5,13.300000190734863,3.6018495559692383
55,-162.9187469482422,99.79281616210938,-7.599999904632568,0.8999999761581421,0.0,0.10000000149011612,97.0999984741211,13.949999809265137,3.6450798511505127
56,-290.4474182128906,85.55429077148438,-107.72837829589844,0.800000011920929,0.05000000074505806,0.15000000596046448,113.3499984741211,12.899999618530273,3.4932756423950195
57,-162.72842407226562,65.95118713378906,-61.400001525878906,0.8500000238418579,0.0,0.15000000596046448,119.4000015258789,13.300000190734863,3.391570806503296
58,-312.0162353515625,117.15116119384766,-136.85000610351562,0.75,0.0,0.25,141.85000610351562,13.0,3.363436222076416
59,-164.391845703125,88.79115295410156,-18.947296142578125,0.8999999761581421,0.05000000074505806,0.05000000074505806,83.1500015258789,13.649999618530273,3.3657193183898926
60,-256.1191711425781,40.64996337890625,-184.0662078857422,0.699999988079071,0.05000000074505806,0.25,141.85000610351562,13.149999618530273,3.3159537315368652
61,-243.07516479492188,47.60813522338867,-143.37026977539062,0.75,0.05000000074505806,0.20000000298023224,130.10000610351562,13.449999809265137,3.4444804191589355
62,-314.57708740234375,70.26604461669922,-159.4310760498047,0.75,0.10000000149011612,0.15000000596046448,104.8499984741211,11.899999618530273,3.3818485736846924
63,-191.75936889648438,72.5066909790039,-108.04459381103516,0.800000011920929,0.05000000074505806,0.15000000596046448,114.44999694824219,13.100000381469727,3.6821227073669434
64,-301.43359375,66.58224487304688,-187.14865112304688,0.699999988079071,0.05000000074505806,0.25,138.0,12.449999809265137,3.651275396347046
65,-315.01251220703125,75.92616271972656,-183.0,0.699999988079071,0.0,0.30000001192092896,161.5,12.850000381469727,3.456256151199341
66,-174.43301391601562,83.24439239501953,-50.25,0.8500000238418579,0.0,0.15000000596046448,110.25,13.5,3.437967300415039
