iter,reward_mean,reward_std,reward_max,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
1,-1000.0,0.0,-1000.0,0.8029077053070068,0.836650013923645,0.8918405771255493,1.071850299835205,1000.4882202148438,0.6742979288101196,0.0,-0.14922820031642914,0.09253084659576416,0.9233675003051758
2,-1000.0,0.0,-1000.0,0.8029077053070068,0.836650013923645,0.8918405771255493,1.071850299835205,1000.4882202148438,0.6742979288101196,0.0,-0.14922820031642914,0.09253084659576416,0.9233675003051758
3,-1000.0,0.0,-1000.0,0.8029077053070068,0.836650013923645,0.8918405771255493,1.071850299835205,1000.4882202148438,0.6742979288101196,0.0,-0.14922820031642914,0.09253084659576416,0.9233675003051758
4,-1000.0,0.0,-1000.0,0.8029077053070068,0.836650013923645,0.8918405771255493,1.071850299835205,1000.4882202148438,0.6742979288101196,0.0,-0.14922820031642914,0.09253084659576416,0.9233675003051758
5,-874.5,332.0417785644531,4.0,0.8029077053070068,0.836650013923645,0.8918405771255493,1.071850299835205,1000.4882202148438,0.6742979288101196,0.0,-0.14922820031642914,0.09253084659576416,0.9233675003051758
6,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
7,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
8,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
9,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
10,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
11,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
12,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
13,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
14,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
15,-1000.0,0.0,-1000.0,0.8617120385169983,0.9648529291152954,0.8752598762512207,1.2210026979446411,1000.62939453125,0.5372666716575623,-0.06343533098697662,-0.261270135641098,0.10804770886898041,0.9068478345870972
