iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6,v7,v8
1,-801.9114379882812,221.97328186035156,-178.125,0.75,0.25,0.0,81.25,12.75,0.9679287672042847,1.0028854608535767,1.1056941747665405,0.9859316349029541,999.9775390625,1.0541397333145142,1.0079550743103027,-0.9851254820823669,2.324080228805542
2,-528.8587036132812,202.4259796142578,-66.66666412353516,0.875,0.125,0.0,91.875,13.875,0.9447326064109802,0.944908857345581,1.0741151571273804,1.0445528030395508,1000.0603637695312,1.0112731456756592,0.904521107673645,-0.9543232917785645,2.3240461349487305
3,-494.10614013671875,135.41696166992188,-67.5,0.875,0.125,0.0,86.25,13.5,0.8110999464988708,0.8847994804382324,1.0357452630996704,1.1111339330673218,1000.0587768554688,1.0415232181549072,0.6998364925384521,-1.0814576148986816,2.3571715354919434
4,-526.7630615234375,158.2201385498047,-285.33331298828125,0.625,0.375,0.0,78.25,13.125,0.75908362865448,0.9260163307189941,1.1919434070587158,1.018471121788025,999.9918823242188,1.0306323766708374,0.6592403650283813,-1.1636117696762085,2.425382614135742
5,-496.28057861328125,153.8998565673828,-71.70833587646484,0.875,0.125,0.0,95.875,13.75,0.6921964883804321,0.9567334651947021,1.1630518436431885,0.9606131315231323,999.976806640625,0.9465572834014893,0.7349202632904053,-1.2073038816452026,2.3399510383605957
6,-532.765625,193.82479858398438,-173.20834350585938,0.75,0.25,0.0,76.125,13.0,0.6844717860221863,0.9310718178749084,1.2859570980072021,0.910179615020752,999.9967041015625,1.0197641849517822,0.6899718642234802,-1.2100101709365845,2.3935487270355225
7,-436.0833435058594,168.1023712158203,-66.33333587646484,0.875,0.125,0.0,88.625,13.625,0.6733947396278381,0.9593369960784912,1.2699464559555054,0.8626035451889038,999.98974609375,0.9776936173439026,0.6752668023109436,-1.3180971145629883,2.4128189086914062
8,-475.3515625,171.44715881347656,-166.4583282470703,0.75,0.25,0.0,83.75,13.625,0.6966003179550171,1.0305490493774414,1.2382574081420898,0.9728415608406067,1000.11083984375,1.0144630670547485,0.726434051990509,-1.2291053533554077,2.4583959579467773
9,-488.06121826171875,186.93402099609375,-59.0,0.875,0.125,0.0,70.25,13.0,0.5796619653701782,1.147194743156433,1.2888132333755493,0.8761724233627319,1000.157958984375,0.9929611086845398,0.5945765972137451,-1.1477816104888916,2.4384162425994873
10,-470.287109375,152.68540954589844,-62.375,0.875,0.125,0.0,84.875,13.75,0.5349371433258057,1.1585479974746704,1.314755916595459,0.9182842969894409,1000.1371459960938,0.9303306937217712,0.6271573901176453,-1.2173106670379639,2.445849895477295
