iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6,v7
1,-318.6875,126.2181625366211,-142.125,0.5,0.5,0.0,70.875,17.875,7.074529647827148,1.2149261236190796,-0.05992458760738373,1006.6507568359375,7.755666732788086,-0.1663089394569397,-9.900022506713867,0.029102426022291183
2,-333.2734375,123.38058471679688,-123.75,0.5,0.5,0.0,67.5,19.375,7.041254043579102,1.5233166217803955,-0.1038362979888916,1006.6380615234375,7.955967903137207,-0.260934442281723,-9.714681625366211,-0.1046920120716095
3,-259.21875,78.5228271484375,-161.5,0.375,0.625,0.0,75.25,22.625,7.040277481079102,1.7403644323349,-0.0371122807264328,1006.8622436523438,8.068181991577148,-0.28818216919898987,-9.899815559387207,-0.1743539571762085
4,-222.6328125,108.51138305664062,-31.0,0.625,0.375,0.0,84.75,24.125,7.073493957519531,1.7355222702026367,-0.24188080430030823,1006.8646240234375,8.112201690673828,-0.508940577507019,-9.714292526245117,-0.30460333824157715
5,-330.7109375,33.474037170410156,-258.125,0.25,0.75,0.0,59.375,17.625,6.92801570892334,1.582283854484558,-0.13124433159828186,1006.877685546875,8.100728034973145,-0.5135797262191772,-9.722087860107422,-0.1720426231622696
6,-209.4453125,48.8280029296875,-120.375,0.5,0.5,0.0,77.875,20.75,6.677990913391113,1.648158073425293,-0.06212306022644043,1006.945068359375,7.944205284118652,-0.3903256058692932,-9.475597381591797,-0.2515406608581543
7,-251.6171875,68.0094985961914,-114.0,0.5,0.5,0.0,67.75,20.375,6.722121238708496,1.4472788572311401,-0.22038425505161285,1006.9751586914062,8.220697402954102,-0.6524856686592102,-9.466608047485352,-0.2941397428512573
8,-164.9296875,125.26692962646484,34.5,0.75,0.25,0.0,80.5,24.0,6.484907150268555,1.4749149084091187,-0.2591996192932129,1006.8853759765625,8.311555862426758,-0.6820504665374756,-9.294791221618652,-0.28444376587867737
9,-309.328125,42.86820602416992,-236.75,0.25,0.75,0.0,75.5,21.375,6.360766410827637,1.580736517906189,-0.14722861349582672,1006.887939453125,8.47980785369873,-0.7582921981811523,-9.404268264770508,-0.3214781582355499
10,-297.0703125,123.12297058105469,-26.125,0.625,0.375,0.0,88.625,25.0,6.280895233154297,1.624316692352295,-0.0738714188337326,1006.7809448242188,8.41012191772461,-0.7411614060401917,-9.496830940246582,-0.5350317358970642
11,-340.140625,93.0869140625,-120.5,0.5,0.5,0.0,68.0,19.75,6.435314655303955,1.5802475214004517,-0.14155226945877075,1006.79931640625,8.53016185760498,-0.4970046579837799,-9.398093223571777,-0.4556446969509125
12,-220.0390625,60.707881927490234,-141.625,0.375,0.625,0.0,77.875,24.875,6.4597272872924805,1.9496359825134277,-0.10192923247814178,1006.6757202148438,8.466404914855957,-0.5306985378265381,-9.47041130065918,-0.32440856099128723
13,-259.25,51.372337341308594,-195.375,0.375,0.625,0.0,60.375,17.75,6.185412406921387,2.0909488201141357,0.03193826973438263,1006.7452392578125,8.44871711730957,-0.6996701955795288,-9.61623477935791,-0.3404749929904938
14,-272.6171875,83.30237579345703,-179.25,0.375,0.625,0.0,71.75,20.5,6.129378795623779,1.9922255277633667,0.04654790461063385,1006.7520141601562,8.54935359954834,-0.63503497838974,-9.476912498474121,-0.3585662841796875
15,-224.796875,90.44783782958984,-127.625,0.5,0.5,0.0,66.375,18.875,6.238877773284912,1.7354764938354492,-0.06117042899131775,1006.7387084960938,8.588257789611816,-0.4876963794231415,-9.651402473449707,-0.23215344548225403
16,-290.6796875,132.58531188964844,-131.375,0.5,0.5,0.0,62.625,18.125,6.184604167938232,1.5412383079528809,-0.0716099888086319,1006.7415771484375,8.562517166137695,-0.5835387706756592,-9.656928062438965,-0.3288886249065399
17,-447.28125,138.63145446777344,-156.5,0.375,0.625,0.0,82.75,23.875,6.380469799041748,1.5505785942077637,-0.15192264318466187,1006.8313598632812,8.521167755126953,-0.6590829491615295,-9.874303817749023,-0.31176429986953735
18,-373.96875,94.4227294921875,-242.125,0.25,0.75,0.0,63.375,19.625,6.354862689971924,1.734651803970337,-0.21377260982990265,1006.8731689453125,8.579449653625488,-0.7010020613670349,-9.88828182220459,-0.2392415702342987
19,-320.875,176.42803955078125,-64.125,0.625,0.375,0.0,70.375,19.375,6.34987211227417,1.6077827215194702,-0.17672252655029297,1006.767578125,8.57735824584961,-0.8734715580940247,-9.808393478393555,-0.300353080034256
20,-256.4296875,99.52289581298828,-112.25,0.5,0.5,0.0,63.5,20.125,6.36005973815918,1.45171058177948,-0.40522757172584534,1006.4000854492188,8.570873260498047,-0.7357263565063477,-9.757145881652832,-0.5233574509620667
21,-353.09375,104.62092590332031,-158.5,0.375,0.625,0.0,73.5,22.75,6.316720962524414,1.3111895322799683,-0.32345256209373474,1006.5068359375,8.503338813781738,-0.6573801636695862,-9.939632415771484,-0.4888252317905426
22,-135.71875,90.4476547241211,16.625,0.75,0.25,0.0,83.375,22.5,6.193778038024902,1.3207331895828247,-0.23343594372272491,1006.58056640625,8.490877151489258,-0.5876328349113464,-9.818732261657715,-0.5077831745147705
23,-209.8984375,45.71455764770508,-113.375,0.5,0.5,0.0,80.875,21.75,6.366998195648193,1.5571399927139282,-0.148504838347435,1006.6295776367188,8.504959106445312,-0.5149768590927124,-9.684331893920898,-0.6876603960990906
24,-356.25,98.17790985107422,-203.25,0.375,0.625,0.0,59.5,16.875,6.50353479385376,1.5013591051101685,-0.030203409492969513,1006.650146484375,8.61722469329834,-0.4001160264015198,-9.765053749084473,-0.6313650012016296
25,-133.734375,76.26447296142578,35.375,0.75,0.25,0.0,84.625,24.5,6.521787643432617,1.356482982635498,0.06548504531383514,1006.4804077148438,8.830867767333984,-0.465816855430603,-9.705513954162598,-0.6820938587188721
26,-279.5859375,55.89482879638672,-175.875,0.375,0.625,0.0,73.375,21.0,6.615633010864258,1.3013899326324463,-0.03834058344364166,1006.5211791992188,8.781500816345215,-0.37085479497909546,-9.667533874511719,-0.6790667176246643
27,-31.2578125,86.31434631347656,116.25,0.875,0.125,0.0,98.75,27.75,6.623063564300537,1.2736382484436035,-0.02733916975557804,1006.5595703125,8.639289855957031,-0.4404180645942688,-9.5885591506958,-0.7347409725189209
28,-316.8125,80.5831298828125,-168.125,0.375,0.625,0.0,74.375,21.875,6.6303887367248535,1.3801251649856567,-0.04249031841754913,1006.6103515625,8.643386840820312,-0.3203972280025482,-9.532327651977539,-0.6258388757705688
29,-153.296875,55.30631637573242,-91.25,0.5,0.5,0.0,78.75,23.75,6.559962749481201,1.2592852115631104,-0.06357820332050323,1006.6101684570312,8.696920394897461,-0.2720961570739746,-9.499645233154297,-0.8499479293823242
30,-283.8671875,112.82492065429688,-107.375,0.5,0.5,0.0,79.875,22.25,6.699426174163818,1.214255452156067,0.04301561415195465,1006.627197265625,8.76052188873291,-0.20486760139465332,-9.518403053283691,-0.7641963362693787
31,-301.5234375,93.29104614257812,-184.25,0.375,0.625,0.0,69.25,19.75,6.566258907318115,1.0502710342407227,0.062144190073013306,1006.6753540039062,9.077070236206055,-0.3412928581237793,-9.741228103637695,-0.9046370387077332
32,-247.0,43.51360321044922,-185.125,0.375,0.625,0.0,66.375,19.375,6.60455846786499,0.8860336542129517,0.04767273738980293,1006.669921875,9.037398338317871,-0.2480258345603943,-9.659351348876953,-0.8431802988052368
