iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6
1,-798.6031494140625,153.69903564453125,-569.2000122070312,0.0,0.800000011920929,0.20000000298023224,57.45000076293945,10.100000381469727,1.0879749059677124,1.0191199779510498,0.9205746650695801,1.1069990396499634,0.8824752569198608,-1.1174978017807007,2.373345375061035
2,-665.4281005859375,57.80474853515625,-542.9000244140625,0.0,0.75,0.25,58.650001525878906,9.75,0.9878997802734375,1.055931568145752,0.7829738259315491,1.241073727607727,0.7519368529319763,-0.9841593503952026,2.4426987171173096
3,-647.6156005859375,55.396697998046875,-510.0,0.0,0.699999988079071,0.30000001192092896,58.0,10.800000190734863,0.98800128698349,0.9927516579627991,0.7787290811538696,1.219617247581482,0.8222213983535767,-0.9296008348464966,2.507821559906006
4,-622.699951171875,93.69647216796875,-380.0,0.0,0.550000011920929,0.44999998807907104,67.25,12.600000381469727,1.0661942958831787,1.0552539825439453,0.8815072178840637,1.1009718179702759,0.7781158685684204,-0.9025022983551025,2.6214354038238525
5,-636.6499633789062,64.10498809814453,-523.7000122070312,0.0,0.699999988079071,0.30000001192092896,55.70000076293945,10.350000381469727,1.2858105897903442,1.0309491157531738,1.0475963354110718,1.06610107421875,0.7592385411262512,-0.8864724040031433,2.7529752254486084
6,-636.0999755859375,54.44493103027344,-470.70001220703125,0.0,0.6499999761581421,0.3499999940395355,60.45000076293945,11.25,1.2659283876419067,0.9068031907081604,0.8943514227867126,1.1442108154296875,0.6091705560684204,-0.9696927666664124,2.8060431480407715
7,-583.4906005859375,192.9853057861328,96.0,0.0,0.0,1.0,100.0,19.600000381469727,1.2556333541870117,0.7830222249031067,0.9151347875595093,1.2809981107711792,0.6234738230705261,-0.9795032143592834,3.039517879486084
8,-152.22813415527344,331.4222717285156,97.0,0.0,0.0,1.0,100.0,19.700000762939453,1.0992183685302734,0.733396053314209,0.8692297339439392,1.2770061492919922,0.8071882128715515,-1.0280359983444214,3.420027732849121
9,67.09375,21.764362335205078,93.0,0.0,0.0,1.0,100.0,19.299999237060547,1.0337250232696533,0.6189767122268677,0.7472286224365234,1.373802661895752,0.7630201578140259,-0.9846948981285095,3.3253817558288574
10,73.046875,25.401782989501953,93.0,0.0,0.0,1.0,100.0,19.299999237060547,1.1119365692138672,0.55225670337677,0.6106623411178589,1.2975589036941528,0.4939385652542114,-1.0195173025131226,3.396545648574829
11,65.765625,22.7918643951416,101.5,0.0,0.0,1.0,100.0,20.149999618530273,1.1477559804916382,0.6195672154426575,0.6563832759857178,1.23281729221344,0.38225218653678894,-1.041057825088501,3.2540745735168457
12,81.53437805175781,18.732084274291992,97.5,0.0,0.0,1.0,100.0,19.75,1.215590238571167,0.6340834498405457,0.6252592206001282,1.3251100778579712,0.3526085913181305,-1.1239620447158813,3.2391061782836914
13,70.28437805175781,23.861122131347656,100.0,0.0,0.0,1.0,100.0,20.0,1.1032270193099976,0.699411928653717,0.4905557632446289,1.4318033456802368,0.41091710329055786,-1.2159842252731323,3.3010592460632324
14,64.21875,22.060590744018555,98.0,0.0,0.0,1.0,100.0,19.799999237060547,1.26152503490448,0.7298636436462402,0.5404728651046753,1.3127403259277344,0.5430931448936462,-1.1809335947036743,3.2255845069885254
15,80.3499984741211,19.181894302368164,106.5,0.0,0.0,1.0,100.0,20.649999618530273,1.182568073272705,0.6788972020149231,0.5906851291656494,1.2803393602371216,0.5383945107460022,-1.1629687547683716,3.0422379970550537
16,-245.32186889648438,391.7037048339844,101.5,0.0,0.0,1.0,100.0,20.149999618530273,1.29862380027771,0.6943638324737549,0.5923974514007568,1.2044862508773804,0.3880736827850342,-1.0880674123764038,3.371713161468506
17,72.32499694824219,26.722557067871094,101.5,0.0,0.0,1.0,100.0,20.149999618530273,1.1371829509735107,0.6599082946777344,0.7657088041305542,1.1987786293029785,0.2650703489780426,-0.9843365550041199,3.361638069152832
18,58.087501525878906,32.60612106323242,100.5,0.0,0.0,1.0,100.0,20.049999237060547,1.2426704168319702,0.5487026572227478,0.6868407726287842,1.144572377204895,0.24572467803955078,-0.9906876683235168,3.4297597408294678
19,73.96562194824219,24.73834991455078,107.5,0.0,0.0,1.0,100.0,20.75,1.1639320850372314,0.6929049491882324,0.7870068550109863,1.1454201936721802,0.38486218452453613,-0.9457808136940002,3.454875946044922
20,48.33124923706055,26.196439743041992,89.5,0.0,0.0,1.0,100.0,18.950000762939453,1.199827790260315,0.6451488733291626,0.9441594481468201,1.1777082681655884,0.1959078013896942,-1.0330904722213745,3.450047731399536
21,71.54999542236328,38.14067077636719,105.0,0.0,0.0,1.0,100.0,20.5,1.150390863418579,0.722083568572998,0.8821865320205688,1.2275688648223877,0.040134087204933167,-1.0413792133331299,3.4559614658355713
22,70.78125,24.84225845336914,97.5,0.0,0.0,1.0,100.0,19.75,1.1980279684066772,0.7823949456214905,0.9599688649177551,1.304677128791809,0.07194019109010696,-1.0793521404266357,3.3300981521606445
23,75.9281234741211,29.621183395385742,109.0,0.0,0.0,1.0,100.0,20.899999618530273,1.4002200365066528,0.8710405826568604,1.0399231910705566,1.4056649208068848,0.181342214345932,-1.1531134843826294,3.301154136657715
24,54.265625,28.273094177246094,100.0,0.0,0.0,1.0,100.0,20.0,1.260115385055542,0.9388483762741089,0.9578233361244202,1.4041831493377686,0.24741321802139282,-1.1114318370819092,3.124826192855835
