iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6
1,-470.875,68.53324127197266,-368.6000061035156,0.0,0.4000000059604645,0.6000000238418579,79.5999984741211,1.2999999523162842,1.0933772325515747,0.8958072662353516,1.0113698244094849,1.1395761966705322,1.0836033821105957,-0.9775833487510681,2.03316330909729
2,-570.768798828125,74.5465316772461,-431.79998779296875,0.0,0.5,0.5,76.80000305175781,1.100000023841858,1.191821813583374,0.8521376848220825,0.8608936071395874,0.8453563451766968,1.167750358581543,-0.9120380878448486,2.128937244415283
3,-594.4437866210938,113.62545013427734,-389.70001220703125,0.0,0.44999998807907104,0.6000000238418579,80.19999694824219,1.4500000476837158,1.270552158355713,0.8240424394607544,0.952043890953064,0.9345138669013977,1.2400070428848267,-1.0747541189193726,2.3105175495147705
4,-583.706298828125,84.7205581665039,-421.6000061035156,0.0,0.5,0.5,79.0999984741211,1.2000000476837158,1.2594268321990967,0.8410937786102295,0.7813739776611328,1.059220790863037,1.2858951091766357,-1.1813031435012817,2.3460845947265625
5,-566.1968383789062,66.00355529785156,-442.0,0.0,0.5,0.5,74.5,1.0,1.4642912149429321,0.755422055721283,0.6059021949768066,1.336031198501587,1.2704106569290161,-1.1842706203460693,2.4721269607543945
6,-544.9937744140625,37.334110260009766,-484.3999938964844,0.0,0.6499999761581421,0.3499999940395355,82.4000015258789,1.100000023841858,1.4576539993286133,0.804831862449646,0.4424835443496704,1.3184785842895508,1.1156373023986816,-1.1992436647415161,2.69332218170166
7,-591.5343627929688,33.80149459838867,-545.5999755859375,0.0,0.699999988079071,0.30000001192092896,73.3499984741211,1.100000023841858,1.3934515714645386,0.9417235851287842,0.47407644987106323,1.2727853059768677,1.0194505453109741,-1.1916004419326782,2.6989545822143555
8,-521.296875,37.027523040771484,-472.70001220703125,0.0,0.6000000238418579,0.4000000059604645,77.44999694824219,1.75,1.4313734769821167,0.9686217904090881,0.5271636247634888,1.369325041770935,1.0193138122558594,-1.231347680091858,2.8029651641845703
9,-512.7593994140625,74.55011749267578,-404.29998779296875,0.0,0.5,0.5,83.55000305175781,1.149999976158142,1.374955654144287,1.0548096895217896,0.5805597901344299,1.3590389490127563,1.043392539024353,-1.3304823637008667,2.88114333152771
10,-515.331298828125,27.52709197998047,-445.1000061035156,0.0,0.550000011920929,0.44999998807907104,78.5999984741211,1.5499999523162842,1.3988244533538818,1.1562821865081787,0.6808914542198181,1.3847647905349731,0.9742509126663208,-1.312464714050293,3.010002613067627
11,-601.8531494140625,77.27886962890625,-476.6000061035156,0.0,0.6000000238418579,0.44999998807907104,77.5999984741211,1.2999999523162842,1.5698578357696533,1.241216778755188,0.6237438321113586,1.4373142719268799,0.8298832774162292,-1.3000789880752563,3.127730131149292
12,-628.7562255859375,25.5550594329834,-576.7000122070312,0.0,0.699999988079071,0.30000001192092896,66.19999694824219,0.8500000238418579,1.5054726600646973,1.1088930368423462,0.5392369627952576,1.2987412214279175,0.8683853149414062,-1.2402325868606567,3.1488640308380127
13,-500.34375,67.86077117919922,-361.20001220703125,0.0,0.4000000059604645,0.6000000238418579,80.94999694824219,1.5,1.3387051820755005,1.2900129556655884,0.5605200529098511,1.215050220489502,0.7849854230880737,-1.1982786655426025,3.222951650619507
14,-617.78125,46.479957580566406,-497.6000061035156,0.0,0.6000000238418579,0.4000000059604645,73.0999984741211,1.0,1.3257001638412476,1.1838138103485107,0.5290080308914185,1.1868808269500732,0.8954145908355713,-1.122374415397644,3.253631591796875
15,-567.4187622070312,53.70198440551758,-461.0,0.0,0.550000011920929,0.44999998807907104,75.0,1.399999976158142,1.3640296459197998,1.2354780435562134,0.4787868857383728,1.2343829870224,0.8796393871307373,-1.1562000513076782,3.279683828353882
16,-512.4437866210938,58.3277587890625,-420.5,0.0,0.5,0.5,80.0,0.949999988079071,1.2422927618026733,1.0614444017410278,0.4860447347164154,1.4008195400238037,0.9144954681396484,-0.9988851547241211,3.313339948654175
17,-543.8125,79.35462951660156,-385.70001220703125,0.0,0.44999998807907104,0.550000011920929,81.19999694824219,1.4500000476837158,1.1038514375686646,1.0320284366607666,0.6558539271354675,1.4254851341247559,1.025383710861206,-0.9402588605880737,3.4372591972351074
18,-518.828125,45.474220275878906,-436.1000061035156,0.0,0.5,0.5,75.0999984741211,1.350000023841858,1.208622932434082,1.0922259092330933,0.7575639486312866,1.334766149520874,0.9770892262458801,-0.9451193809509277,3.465297222137451
19,-612.5437622070312,41.13506317138672,-502.70001220703125,0.0,0.6499999761581421,0.3499999940395355,78.19999694824219,0.949999988079071,1.1316462755203247,1.017307996749878,0.7089983224868774,1.322643756866455,0.9314108490943909,-1.095184564590454,3.5327084064483643
20,-490.56561279296875,54.73748016357422,-408.6000061035156,0.0,0.5,0.5,81.8499984741211,1.399999976158142,1.152092695236206,1.0171451568603516,0.5987508893013,1.1981931924819946,0.8419836163520813,-0.9882150888442993,3.561312437057495
21,-593.6375122070312,77.10411834716797,-410.70001220703125,0.0,0.44999998807907104,0.550000011920929,75.69999694824219,1.149999976158142,1.1942369937896729,0.9941232800483704,0.42141273617744446,1.0180903673171997,0.9067471623420715,-0.8941135406494141,3.662029266357422
22,-563.015625,58.69170379638672,-446.3999938964844,0.0,0.5,0.5,73.1500015258789,1.100000023841858,1.3501842021942139,0.863152027130127,0.42539525032043457,1.1018110513687134,0.9676928520202637,-0.8683757185935974,3.6854043006896973
23,-552.4124755859375,46.587554931640625,-432.3999938964844,0.0,0.5,0.5,76.6500015258789,1.100000023841858,1.3914107084274292,0.7400109767913818,0.5367445945739746,0.9084392786026001,0.9916290640830994,-0.9732488989830017,3.848771095275879
24,-599.6469116210938,67.61225891113281,-474.3999938964844,0.0,0.550000011920929,0.44999998807907104,72.1500015258789,1.2000000476837158,1.160428762435913,0.7408499717712402,0.5781641602516174,0.984472930431366,0.9934104084968567,-1.0904446840286255,3.9406685829162598
25,-600.46875,42.000396728515625,-526.7000122070312,0.0,0.6499999761581421,0.3499999940395355,71.69999694824219,1.149999976158142,1.2286725044250488,0.8011206388473511,0.5668990612030029,1.0864781141281128,0.9476161003112793,-1.2181153297424316,4.21661901473999
26,-520.5875244140625,33.52568817138672,-440.3999938964844,0.0,0.5,0.5,75.6500015258789,0.699999988079071,1.2648241519927979,0.8942745923995972,0.6612276434898376,1.0973812341690063,1.0852982997894287,-1.1887664794921875,4.363279819488525
27,-545.9437255859375,97.22757720947266,-356.20001220703125,0.0,0.4000000059604645,0.6000000238418579,81.44999694824219,1.7999999523162842,1.1133785247802734,0.9982486367225647,0.6485675573348999,1.1624767780303955,1.0121954679489136,-1.0288128852844238,4.410430908203125
28,-585.971923828125,72.21741485595703,-425.0,0.0,0.5,0.5,78.5,1.100000023841858,1.184117078781128,0.9465360641479492,0.6559854745864868,1.1650649309158325,1.104727864265442,-1.0994524955749512,4.460595607757568
29,-526.2750244140625,64.9826431274414,-436.1000061035156,0.0,0.5,0.5,76.0999984741211,0.949999988079071,1.2550495862960815,1.1056740283966064,0.6959273219108582,1.1254380941390991,1.1033103466033936,-1.111657738685608,4.510100841522217
30,-674.762451171875,67.21339416503906,-529.7000122070312,0.0,0.6499999761581421,0.3499999940395355,71.69999694824219,0.8500000238418579,1.2188786268234253,1.0868630409240723,0.6794790029525757,1.1030274629592896,1.1306787729263306,-1.090545654296875,4.54747200012207
31,-557.109375,62.459495544433594,-428.5,0.0,0.5,0.5,78.0,0.949999988079071,1.1665185689926147,1.0879778861999512,0.2964213192462921,1.0095152854919434,1.0792008638381958,-0.9041253924369812,4.690283298492432
32,-582.121826171875,32.65285873413086,-512.2999877929688,0.0,0.6000000238418579,0.4000000059604645,69.55000305175781,0.949999988079071,1.118247151374817,0.9943278431892395,0.2609270513057709,0.8310370445251465,0.9789096117019653,-0.9820820093154907,4.701110363006592
33,-667.6593627929688,89.10942077636719,-483.6000061035156,0.0,0.6000000238418579,0.4000000059604645,76.5999984741211,1.0,1.089599370956421,1.1442832946777344,0.371107816696167,0.8204002380371094,0.934648871421814,-0.9055458903312683,4.7930145263671875
34,-637.2218627929688,56.147064208984375,-504.5,0.0,0.6000000238418579,0.4000000059604645,71.75,0.8500000238418579,1.2783585786819458,1.143843650817871,0.4149695634841919,0.9753656387329102,0.8884802460670471,-0.8053581714630127,4.812979221343994
35,-591.4375,70.52510833740234,-416.8999938964844,0.0,0.5,0.5,80.4000015258789,1.149999976158142,1.3040817975997925,1.0789117813110352,0.42074060440063477,0.9327540397644043,0.9800764322280884,-0.7016558647155762,4.880748748779297
