iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6,v7,v8
1,-949.9734497070312,70.51361846923828,-795.6755981445312,0.20000000298023224,0.800000011920929,0.0,208.4499969482422,15.899999618530273,1.143188714981079,1.081833839416504,1.0762859582901,0.9478408098220825,999.9802856445312,0.9172563552856445,0.9923442006111145,-0.8475276827812195,2.40413761138916
2,-915.7832641601562,45.73613739013672,-819.1153564453125,0.20000000298023224,0.800000011920929,0.0,176.0500030517578,11.899999618530273,1.104299783706665,1.073651671409607,1.2140109539031982,0.9813622236251831,999.8547973632812,0.8117616772651672,0.8034822344779968,-0.8489915728569031,2.316701889038086
3,-903.8549194335938,47.89622116088867,-807.1981201171875,0.20000000298023224,0.800000011920929,0.0,219.9499969482422,15.550000190734863,1.1681143045425415,0.994684100151062,1.3532136678695679,1.1252496242523193,999.9164428710938,0.7059997320175171,0.9325422644615173,-0.6470191478729248,2.276879072189331
4,-879.0953369140625,51.89607620239258,-743.0703125,0.30000001192092896,0.699999988079071,0.0,202.5500030517578,12.850000381469727,1.1099876165390015,0.8261752724647522,1.487903356552124,1.185351848602295,999.8909301757812,0.7481085658073425,0.9178063869476318,-0.4904900789260864,2.3272864818573
5,-921.9479370117188,48.591407775878906,-787.2765502929688,0.25,0.75,0.0,199.89999389648438,12.699999809265137,1.29756760597229,0.6044690608978271,1.4702397584915161,1.2074812650680542,999.8417358398438,0.9914358854293823,0.8338313698768616,-0.5308507084846497,2.4801571369171143
6,-891.5615234375,41.85710144042969,-780.1927490234375,0.25,0.75,0.0,206.1999969482422,13.75,1.215657353401184,0.5997515320777893,1.4414767026901245,1.1690311431884766,999.8695678710938,0.8292767405509949,0.8556373715400696,-0.35872137546539307,2.531497001647949
7,-922.3111572265625,59.5562629699707,-807.1651611328125,0.20000000298023224,0.800000011920929,0.0,209.3000030517578,14.800000190734863,1.1779011487960815,0.7251286506652832,1.5532587766647339,1.2370576858520508,999.8809204101562,0.7011059522628784,0.8493519425392151,-0.35224398970603943,2.7266337871551514
8,-906.3416748046875,44.73784637451172,-780.9530639648438,0.25,0.75,0.0,202.89999389648438,13.449999809265137,1.1646687984466553,0.854279637336731,1.4455287456512451,1.1390197277069092,999.918212890625,0.6996940970420837,0.7294807434082031,-0.32127487659454346,2.850287675857544
9,-867.1644897460938,128.62600708007812,-362.0035705566406,0.8500000238418579,0.10000000149011612,0.05000000074505806,496.79998779296875,25.0,1.2037179470062256,0.8259004354476929,1.5514713525772095,1.3055393695831299,999.7660522460938,0.6247073411941528,0.7651655673980713,-0.4374901354312897,3.096770763397217
10,-507.00299072265625,200.52268981933594,-256.7930908203125,0.949999988079071,0.05000000074505806,0.0,476.95001220703125,26.0,1.1527128219604492,0.8517727851867676,1.6431716680526733,1.2535110712051392,999.7457885742188,0.6744911670684814,0.7542806267738342,-0.4291246831417084,3.446492910385132
