iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6
1,-914.628173828125,41.8632698059082,-823.9000244140625,0.0,0.949999988079071,0.05000000074505806,25.399999618530273,4.949999809265137,0.967524528503418,1.0659542083740234,0.8995312452316284,1.0547950267791748,0.9474688172340393,-1.1230881214141846,2.367583990097046
2,-867.3499755859375,22.08135414123535,-819.7000122070312,0.0,0.949999988079071,0.05000000074505806,25.950000762939453,5.150000095367432,0.9857017397880554,1.0218685865402222,1.0516626834869385,1.036133050918579,0.9439184665679932,-1.102084755897522,2.5356807708740234
3,-877.609375,22.33904457092285,-835.5999755859375,0.0,1.0,0.0,27.350000381469727,5.5,1.0313408374786377,1.142338514328003,1.1286345720291138,1.1114758253097534,0.8535036444664001,-1.007525086402893,2.5589699745178223
4,-885.109375,20.20438003540039,-847.9000244140625,0.0,1.0,0.0,25.899999618530273,4.849999904632568,1.0938661098480225,1.1147441864013672,1.0882511138916016,1.1753239631652832,0.8583476543426514,-1.019839882850647,2.561861991882324
5,-890.731201171875,19.434917449951172,-843.5999755859375,0.0,1.0,0.0,25.850000381469727,5.300000190734863,1.2481900453567505,1.1857482194900513,1.011977195739746,1.2580159902572632,0.7592253684997559,-1.0478711128234863,2.70040225982666
6,-871.050048828125,26.799646377563477,-814.4000244140625,0.0,1.0,0.0,29.899999618530273,6.599999904632568,1.0580410957336426,1.319312572479248,1.044556975364685,1.2674319744110107,0.7874894738197327,-1.0160514116287231,2.7773563861846924
7,-840.737548828125,141.63040161132812,-75.9000015258789,0.0,0.25,0.75,88.6500015258789,19.450000762939453,0.9840933084487915,1.2798582315444946,0.8194841146469116,1.296834945678711,0.8040848970413208,-0.9962007403373718,2.9821982383728027
8,-466.4750061035156,441.3959045410156,97.69999694824219,0.0,0.10000000149011612,0.8999999761581421,96.80000305175781,26.049999237060547,1.020874261856079,1.1697754859924316,0.811251699924469,1.1984386444091797,0.784292459487915,-1.1056514978408813,3.397352457046509
9,13.6875,59.12691116333008,134.10000610351562,0.0,0.05000000074505806,0.949999988079071,99.4000015258789,26.149999618530273,0.9619305729866028,1.2097219228744507,0.8865939378738403,1.1738781929016113,0.8011206388473511,-1.05359947681427,3.4213979244232178
10,-34.865623474121094,57.29243850708008,59.400001525878906,0.0,0.10000000149011612,0.8999999761581421,93.0999984741211,23.700000762939453,0.9413825869560242,1.0931850671768188,0.7226566672325134,1.0867674350738525,0.9958239197731018,-1.2501220703125,3.464322566986084
