iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6,v7,v8
1,-1016.9244995117188,7.489170074462891,-977.1285400390625,0.05000000074505806,0.949999988079071,0.0,105.25,5.199999809265137,1.0467095375061035,0.9582244157791138,1.166631817817688,0.9235509037971497,999.8209228515625,1.0479339361190796,0.916892945766449,-0.9493163824081421,2.001453399658203
2,-1012.428466796875,8.008935928344727,-970.875,0.05000000074505806,0.949999988079071,0.0,136.5500030517578,7.849999904632568,1.1724944114685059,0.993280827999115,1.0687122344970703,0.8313446044921875,999.78515625,1.1116015911102295,0.885647177696228,-1.1054344177246094,2.0142483711242676
3,-1017.5477905273438,15.04256534576416,-975.3819580078125,0.05000000074505806,0.949999988079071,0.0,104.30000305175781,5.199999809265137,1.0995126962661743,1.111083745956421,1.1705033779144287,0.8001124262809753,999.652099609375,1.1142538785934448,0.9437240362167358,-1.021242618560791,1.8749834299087524
4,-1016.068603515625,1.9896529912948608,-1012.248046875,0.0,1.0,0.0,46.29999923706055,1.899999976158142,1.1825975179672241,1.0805810689926147,1.1862369775772095,0.8362810611724854,999.7003173828125,1.1435075998306274,0.9994903802871704,-1.093592882156372,1.7744569778442383
5,-1017.2540283203125,2.502382755279541,-1011.71142578125,0.0,1.0,0.0,49.95000076293945,2.200000047683716,1.1909525394439697,1.1813746690750122,1.0838183164596558,0.7999836802482605,999.5765380859375,1.099360704421997,0.9076436161994934,-1.1096789836883545,1.7754220962524414
6,-1013.874267578125,1.4544111490249634,-1010.671875,0.0,1.0,0.0,57.29999923706055,2.799999952316284,1.2281479835510254,1.2520300149917603,1.116097092628479,0.7979847192764282,999.5562133789062,1.1313279867172241,0.9843491315841675,-1.0179550647735596,1.7938200235366821
7,-1016.4798583984375,1.7601335048675537,-1012.5511474609375,0.0,1.0,0.0,38.599998474121094,1.350000023841858,1.2395426034927368,1.2202086448669434,1.2350108623504639,0.8525199890136719,999.510986328125,1.2603758573532104,0.573721706867218,-0.9972354769706726,1.7901496887207031
8,-1014.810546875,2.883293867111206,-1009.7940673828125,0.0,1.0,0.0,47.849998474121094,2.25,1.238603115081787,1.2274839878082275,1.2897696495056152,1.0235129594802856,999.4631958007812,1.279403805732727,0.6631305813789368,-0.925864040851593,1.9578415155410767
9,-1026.917236328125,23.74832534790039,-1011.6927490234375,0.0,1.0,0.0,47.70000076293945,2.049999952316284,1.31206214427948,1.2253714799880981,1.3975129127502441,1.0624345541000366,999.5471801757812,1.3856481313705444,0.6332241892814636,-0.9484706521034241,1.6808388233184814
10,-1014.343017578125,1.5759652853012085,-1011.4010620117188,0.0,1.0,0.0,40.599998474121094,1.600000023841858,1.370348572731018,1.153273105621338,1.581444263458252,1.009860873222351,999.5472412109375,1.5116969347000122,0.6880881786346436,-0.9444790482521057,1.4898161888122559
11,-1014.1392211914062,1.9238600730895996,-1010.759765625,0.0,1.0,0.0,39.650001525878906,1.600000023841858,1.358055591583252,1.0768378973007202,1.4867496490478516,1.1208126544952393,999.509521484375,1.6457157135009766,0.6277089715003967,-0.9435937404632568,1.4970440864562988
12,-1015.899658203125,1.2748160362243652,-1013.6533203125,0.0,1.0,0.0,55.04999923706055,2.3499999046325684,1.2762949466705322,1.1814628839492798,1.5509780645370483,1.1431972980499268,999.477294921875,1.6833341121673584,0.39322173595428467,-0.9708106517791748,1.648000717163086
13,-1015.59423828125,1.2311387062072754,-1013.56689453125,0.0,1.0,0.0,44.54999923706055,1.649999976158142,1.3204036951065063,1.0894798040390015,1.6171164512634277,1.1505606174468994,999.451416015625,1.5983021259307861,0.2830704152584076,-1.0489453077316284,1.7689363956451416
14,-1015.80419921875,8.72142505645752,-1012.2969970703125,0.0,1.0,0.0,44.150001525878906,1.75,1.1658991575241089,1.1985466480255127,1.6876682043075562,1.0616354942321777,999.478515625,1.4869394302368164,0.3460760712623596,-1.1007946729660034,1.5391584634780884
15,-1009.5439453125,2.334806203842163,-1005.7731323242188,0.0,1.0,0.0,57.45000076293945,3.299999952316284,1.1483848094940186,1.1193772554397583,1.6250457763671875,1.0246527194976807,999.449462890625,1.6163700819015503,0.29952970147132874,-1.1212722063064575,1.5257154703140259
16,-1013.0528564453125,1.9591060876846313,-1009.1867065429688,0.0,1.0,0.0,46.95000076293945,2.25,1.371460199356079,0.9839285612106323,1.5692460536956787,1.0059707164764404,999.3947143554688,1.6462657451629639,0.42693060636520386,-1.1566932201385498,1.52424955368042
17,-1011.5797119140625,1.5506783723831177,-1008.689453125,0.0,1.0,0.0,43.25,2.049999952316284,1.436720609664917,1.2051677703857422,1.5826098918914795,0.837565541267395,999.3224487304688,1.5458420515060425,0.28825727105140686,-1.161575198173523,1.3574270009994507
18,-1012.1658935546875,2.1207191944122314,-1006.77880859375,0.0,1.0,0.0,50.04999923706055,2.700000047683716,1.3245234489440918,1.2284621000289917,1.5116280317306519,0.8414736986160278,999.452392578125,1.5120046138763428,0.21597075462341309,-1.0665353536605835,1.3648111820220947
19,-1014.3482666015625,1.6432462930679321,-1011.2298583984375,0.0,1.0,0.0,52.20000076293945,2.4000000953674316,1.3926737308502197,1.3261668682098389,1.7337723970413208,0.9183422327041626,999.5853881835938,1.4893163442611694,0.22793571650981903,-1.211251974105835,1.3893018960952759
20,-1012.3441162109375,1.7300649881362915,-1009.4014892578125,0.0,1.0,0.0,48.75,2.3499999046325684,1.492570161819458,1.3948240280151367,1.8243706226348877,1.0439813137054443,999.4789428710938,1.4147765636444092,0.17930996417999268,-1.2043993473052979,1.484567403793335
21,-1009.0543823242188,2.0126943588256836,-1006.1500854492188,0.0,1.0,0.0,50.599998474121094,2.799999952316284,1.5142794847488403,1.344865083694458,1.9048693180084229,0.9698032140731812,999.5115356445312,1.5228629112243652,0.39566493034362793,-1.1955536603927612,1.39775550365448
22,-1010.9303588867188,2.348879814147949,-1007.1038818359375,0.0,1.0,0.0,49.04999923706055,2.5999999046325684,1.451129674911499,1.3742702007293701,1.872753381729126,0.9511936902999878,999.4718017578125,1.6519768238067627,0.32316887378692627,-1.1640154123306274,1.3881994485855103
23,-1015.2401123046875,2.66870379447937,-1009.5159912109375,0.0,1.0,0.0,66.69999694824219,3.549999952316284,1.440974473953247,1.2574553489685059,1.915619969367981,1.0645941495895386,999.522216796875,1.5393295288085938,0.6154938340187073,-1.186515212059021,1.408103108406067
24,-1012.57763671875,1.9872316122055054,-1009.8367919921875,0.0,1.0,0.0,44.95000076293945,2.049999952316284,1.3996222019195557,1.2888994216918945,1.8252028226852417,1.0305984020233154,999.4783935546875,1.7793188095092773,0.5795785188674927,-1.009218692779541,1.3559125661849976
25,-1015.7960205078125,2.414989948272705,-1011.1437377929688,0.0,1.0,0.0,49.849998474121094,2.25,1.4405766725540161,1.2398438453674316,1.7563565969467163,1.0764144659042358,999.5391235351562,1.7952972650527954,0.6990988254547119,-0.9399001598358154,1.4804356098175049
26,-1013.394287109375,1.5190995931625366,-1009.8031005859375,0.0,1.0,0.0,44.900001525878906,2.049999952316284,1.5782225131988525,1.0739463567733765,1.6049410104751587,1.0466371774673462,999.5144653320312,1.7305185794830322,0.6463877558708191,-0.9027029275894165,1.5895737409591675
27,-1013.0267333984375,1.373139500617981,-1010.4894409179688,0.0,1.0,0.0,31.100000381469727,1.0499999523162842,1.4741555452346802,1.0313925743103027,1.4858993291854858,1.1372425556182861,999.3688354492188,1.6031521558761597,0.4930695593357086,-0.919924795627594,1.6769416332244873
28,-1013.4771728515625,1.9323352575302124,-1009.2659912109375,0.0,1.0,0.0,40.400001525878906,1.7999999523162842,1.4376118183135986,1.1028356552124023,1.3241603374481201,1.1481274366378784,999.4647216796875,1.5772091150283813,0.556344747543335,-0.8020602464675903,1.569287657737732
29,-1010.0726318359375,2.0027637481689453,-1006.7940673828125,0.0,1.0,0.0,47.849998474121094,2.549999952316284,1.363113284111023,0.9827783703804016,1.24542236328125,1.1244951486587524,999.40771484375,1.6423486471176147,0.5174213647842407,-0.7909626364707947,1.622639775276184
30,-1015.1337890625,1.4948890209197998,-1012.7565307617188,0.0,1.0,0.0,35.20000076293945,1.100000023841858,1.4590364694595337,0.9130063056945801,1.0543729066848755,0.9478762149810791,999.3907470703125,1.696651816368103,0.47800254821777344,-0.6621237397193909,1.6086739301681519
31,-1014.0831298828125,1.756431221961975,-1009.4259033203125,0.0,1.0,0.0,43.599998474121094,2.0,1.5874630212783813,0.9073231220245361,0.9468730092048645,0.8901820182800293,999.4027099609375,1.5401713848114014,0.6566257476806641,-0.6558606624603271,1.4900786876678467
32,-1014.0510864257812,1.288618564605713,-1011.1076049804688,0.0,1.0,0.0,61.650001525878906,3.049999952316284,1.6866381168365479,0.7823803424835205,0.7937018275260925,0.8941001296043396,999.3643188476562,1.4314075708389282,0.6031045913696289,-0.5706025958061218,1.5291852951049805
