iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6,v7
1,-172.3594207763672,76.34125518798828,-53.849998474121094,0.8999999761581421,0.0,0.10000000149011612,88.8499984741211,8.5,0.9893299341201782,0.08026453852653503,0.032938480377197266,0.7322783470153809,-0.006567575037479401,-1.4603244066238403,4.012333393096924,2.5776755809783936
2,-159.2218780517578,95.12969970703125,-14.649999618530273,0.949999988079071,0.0,0.05000000074505806,73.6500015258789,8.399999618530273,1.0843908786773682,0.2630440890789032,-0.018729984760284424,0.8155701160430908,-0.16914933919906616,-1.552412986755371,3.7366762161254883,2.4391140937805176
3,-146.35311889648438,38.38938903808594,-54.25,0.8999999761581421,0.0,0.10000000149011612,85.25,8.100000381469727,1.13883638381958,0.2729698419570923,-0.11980083584785461,0.7369823455810547,-0.25341132283210754,-1.5662550926208496,3.9816882610321045,2.331515312194824
4,-213.54080200195312,53.55937194824219,-103.69999694824219,0.8500000238418579,0.0,0.15000000596046448,103.69999694824219,7.5,1.1610777378082275,0.333880215883255,-0.05883835628628731,0.8954110145568848,-0.34413814544677734,-1.651982307434082,3.5989439487457275,2.3279669284820557
5,-123.5616455078125,40.895286560058594,-56.95000076293945,0.8999999761581421,0.0,0.10000000149011612,89.44999694824219,8.25,1.03080415725708,0.23560263216495514,-0.03595484048128128,0.822539746761322,-0.4132077991962433,-1.6738735437393188,3.5402400493621826,2.3562614917755127
6,-74.28280639648438,47.29608917236328,19.350000381469727,1.0,0.0,0.0,60.150001525878906,7.949999809265137,0.9027611017227173,0.17593789100646973,0.0413547083735466,0.8104183077812195,-0.5122445225715637,-1.8187710046768188,3.6059188842773438,2.261857271194458
7,-139.37342834472656,72.095947265625,-14.399999618530273,0.949999988079071,0.0,0.05000000074505806,73.4000015258789,8.399999618530273,1.0358216762542725,0.11343708634376526,0.028768599033355713,0.863750159740448,-0.6447618007659912,-1.9296914339065552,3.5367894172668457,2.2949137687683105
8,-91.22344207763672,22.53907012939453,-52.75,0.8999999761581421,0.0,0.10000000149011612,83.25,8.050000190734863,1.0345263481140137,-0.06660829484462738,0.06856809556484222,0.9427562952041626,-0.6402352452278137,-1.9751973152160645,3.5331437587738037,2.268834114074707
9,-88.9203109741211,52.18158721923828,-17.549999237060547,0.949999988079071,0.0,0.05000000074505806,69.55000305175781,7.699999809265137,0.9130601286888123,-0.18624469637870789,-0.045388929545879364,0.8972876667976379,-0.7329243421554565,-1.799494981765747,3.528177261352539,2.324700355529785
10,-82.21989440917969,33.9493522644043,-16.649999618530273,0.949999988079071,0.0,0.05000000074505806,72.6500015258789,8.100000381469727,0.9199686050415039,-0.004841327667236328,0.05296025425195694,0.7176254391670227,-0.7411596775054932,-1.9598828554153442,3.420686960220337,2.361027717590332
11,-128.4578094482422,44.150596618652344,-57.70000076293945,0.8999999761581421,0.0,0.10000000149011612,90.69999694824219,8.300000190734863,0.9195668697357178,-0.10149147361516953,-0.08787166327238083,0.6304677724838257,-0.8261408805847168,-1.926920771598816,3.5647621154785156,2.209761619567871
12,-99.65768432617188,62.54197692871094,-21.649999618530273,0.949999988079071,0.0,0.05000000074505806,74.1500015258789,7.75,0.9697409272193909,-0.0025556236505508423,-0.09471087157726288,0.7622715830802917,-0.8156920075416565,-1.8645570278167725,3.5456786155700684,2.249584197998047
13,-154.828125,27.387407302856445,-106.55000305175781,0.8500000238418579,0.0,0.15000000596046448,105.55000305175781,7.400000095367432,1.1194428205490112,0.06770619750022888,-0.08964823186397552,0.7826218008995056,-0.813298761844635,-1.8509776592254639,3.4772157669067383,2.1322848796844482
14,-41.267189025878906,26.39927101135254,-12.5,0.949999988079071,0.0,0.05000000074505806,72.0,8.449999809265137,1.0656501054763794,-0.12019655108451843,-0.2905265688896179,0.7729143500328064,-0.9665435552597046,-1.9003758430480957,3.520951509475708,1.9863308668136597
15,-43.57344055175781,30.0104923248291,23.5,1.0,0.0,0.0,58.0,8.149999618530273,1.1750215291976929,-0.0797099694609642,-0.35623225569725037,0.679249107837677,-1.1401793956756592,-1.806708812713623,3.515709161758423,2.0173726081848145
16,-101.05155944824219,50.60364532470703,-20.450000762939453,0.949999988079071,0.0,0.05000000074505806,69.94999694824219,7.449999809265137,1.070429801940918,-0.03225402161478996,-0.35961779952049255,0.5113803148269653,-1.0948528051376343,-1.6698883771896362,3.519775390625,2.079583168029785
17,-111.4203109741211,39.86512756347656,-44.75,0.8999999761581421,0.0,0.10000000149011612,89.75,9.5,1.0836061239242554,-0.08706265687942505,-0.4331056475639343,0.35264265537261963,-1.043497920036316,-1.5193887948989868,3.426586627960205,2.221128225326538
18,-90.09375,56.12685775756836,-15.649999618530273,0.949999988079071,0.0,0.05000000074505806,74.6500015258789,8.399999618530273,1.068203091621399,-0.061436112970113754,-0.3366418182849884,0.6018223762512207,-1.09912109375,-1.576620101928711,3.4853549003601074,2.1981287002563477
