iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6,v7
1,-1009.400390625,16.73188591003418,-968.3421630859375,0.05000000074505806,0.949999988079071,0.0,46.70000076293945,2.299999952316284,1.394352674484253,-0.16852352023124695,-0.06314097344875336,1.5424644947052002,0.26509082317352295,-1.21577787399292,3.7374472618103027,2.781076192855835
2,-1021.5403442382812,10.185839653015137,-973.3111572265625,0.05000000074505806,0.949999988079071,0.0,52.0,2.0999999046325684,1.2956892251968384,-0.185720294713974,-0.17421957850456238,1.4553674459457397,0.20324841141700745,-1.2007019519805908,3.8126049041748047,2.8845489025115967
3,-1019.4656982421875,7.393810749053955,-981.3333129882812,0.05000000074505806,0.949999988079071,0.0,56.70000076293945,1.850000023841858,1.397628664970398,-0.3129424452781677,-0.11234024912118912,1.4470348358154297,0.12341928482055664,-1.1914544105529785,3.853600025177002,2.790672779083252
4,-998.398681640625,31.918018341064453,-916.2024536132812,0.15000000596046448,0.8500000238418579,0.0,107.1500015258789,3.0999999046325684,1.4356176853179932,-0.27871742844581604,0.05649719387292862,1.3772587776184082,0.12028292566537857,-1.1969467401504517,4.165596008300781,2.8106977939605713
5,-896.4729614257812,42.88102722167969,-820.7120361328125,0.25,0.75,0.0,129.25,4.849999904632568,1.4444050788879395,-0.3346124589443207,0.11715364456176758,1.5510404109954834,-0.10576964169740677,-1.2565025091171265,4.185758590698242,2.7154083251953125
6,-943.4688110351562,35.86296463012695,-900.9212036132812,0.15000000596046448,0.8500000238418579,0.0,82.30000305175781,2.5,1.4320405721664429,-0.2670118808746338,0.1975945681333542,1.5129026174545288,-0.13280797004699707,-1.051039695739746,4.207616329193115,2.875826120376587
7,-982.962158203125,18.713756561279297,-938.0670166015625,0.10000000149011612,0.8999999761581421,0.0,68.5,2.4000000953674316,1.5361812114715576,-0.25898149609565735,0.22309523820877075,1.4465014934539795,-0.066656693816185,-1.1932036876678467,4.281802177429199,2.8499035835266113
8,-992.8726196289062,37.074275970458984,-941.1824951171875,0.10000000149011612,0.8999999761581421,0.0,84.8499984741211,3.4000000953674316,1.4852707386016846,-0.18562628328800201,0.28277602791786194,1.4696781635284424,0.10481329262256622,-1.2798587083816528,4.286937236785889,2.8013341426849365
9,-984.1480712890625,21.747390747070312,-940.1016845703125,0.10000000149011612,0.8999999761581421,0.0,75.44999694824219,2.700000047683716,1.2652482986450195,-0.31000596284866333,0.3042457699775696,1.4313489198684692,-0.15118823945522308,-1.3240653276443481,4.447103500366211,2.866734027862549
10,-965.3017578125,27.647172927856445,-890.2683715820312,0.15000000596046448,0.8500000238418579,0.0,87.1500015258789,3.950000047683716,1.3566166162490845,-0.38181522488594055,0.28718867897987366,1.3534272909164429,0.06217750906944275,-1.2123583555221558,4.563846111297607,2.879009246826172
11,-1004.9744262695312,33.45378875732422,-926.1964721679688,0.10000000149011612,0.8999999761581421,0.0,61.25,2.9000000953674316,1.355239748954773,-0.46809840202331543,0.28452277183532715,1.2972283363342285,-0.13017955422401428,-1.2153376340866089,4.781646728515625,2.792386054992676
12,-977.2371215820312,27.807716369628906,-934.33544921875,0.10000000149011612,0.8999999761581421,0.0,87.0,4.25,1.3146413564682007,-0.5229923725128174,0.3498716354370117,1.3724209070205688,-0.29587122797966003,-1.2395704984664917,4.892000198364258,2.736513137817383
13,-976.793212890625,33.34846115112305,-940.1944580078125,0.10000000149011612,0.8999999761581421,0.0,78.3499984741211,2.950000047683716,1.4538025856018066,-0.5364943146705627,0.5565469861030579,1.298518180847168,-0.23432235419750214,-1.2799633741378784,4.902557849884033,2.943809986114502
14,-967.4401245117188,47.373634338378906,-909.7545166015625,0.15000000596046448,0.8500000238418579,0.0,83.8499984741211,1.75,1.388879656791687,-0.43893009424209595,0.47217315435409546,1.2943320274353027,-0.20596423745155334,-1.2367051839828491,5.028979778289795,3.0508439540863037
15,-961.1148071289062,27.645750045776367,-921.95751953125,0.10000000149011612,0.8999999761581421,0.0,97.69999694824219,6.349999904632568,1.2828254699707031,-0.4191785156726837,0.4788843095302582,1.309975266456604,-0.3762980103492737,-1.287269949913025,5.2507100105285645,3.052548408508301
16,-930.412841796875,37.4051628112793,-870.67333984375,0.20000000298023224,0.800000011920929,0.0,115.5999984741211,3.5999999046325684,1.2851771116256714,-0.3471982479095459,0.5156558752059937,1.5186002254486084,-0.33932456374168396,-1.2680740356445312,5.285366058349609,3.109060287475586
17,-959.8358154296875,58.57149887084961,-853.7579345703125,0.20000000298023224,0.800000011920929,0.0,118.3499984741211,5.449999809265137,1.414225697517395,-0.2914104759693146,0.581842303276062,1.4691498279571533,-0.29221487045288086,-1.2799358367919922,5.356934547424316,2.9000022411346436
18,-1005.3558349609375,64.13025665283203,-936.3679809570312,0.10000000149011612,0.8999999761581421,0.0,104.30000305175781,5.400000095367432,1.4564249515533447,-0.17845673859119415,0.47272366285324097,1.3717800378799438,-0.3526187241077423,-1.4881259202957153,5.381530284881592,2.906026840209961
19,-940.02099609375,82.19091033935547,-776.1870727539062,0.30000001192092896,0.699999988079071,0.0,151.3000030517578,6.25,1.3507264852523804,-0.25298213958740234,0.4287371337413788,1.4326257705688477,-0.3304366171360016,-1.4765986204147339,5.476296424865723,2.8632102012634277
20,-831.47802734375,47.567020416259766,-746.5128173828125,0.3499999940395355,0.6499999761581421,0.0,177.64999389648438,6.949999809265137,1.258272647857666,-0.28854745626449585,0.5355815291404724,1.4462100267410278,-0.3256083130836487,-1.5360181331634521,5.51181697845459,2.975983142852783
21,-940.3607788085938,61.42202377319336,-857.1502685546875,0.20000000298023224,0.800000011920929,0.0,133.1999969482422,6.349999904632568,1.1753157377243042,-0.29232701659202576,0.6498544812202454,1.410578966140747,-0.4168109893798828,-1.47925865650177,5.541849136352539,3.035104990005493
22,-1035.85595703125,70.32687377929688,-976.2166748046875,0.05000000074505806,0.949999988079071,0.0,89.69999694824219,5.050000190734863,1.2744061946868896,-0.2803323566913605,0.4870901107788086,1.3975672721862793,-0.4133692681789398,-1.5541561841964722,5.554475784301758,3.064162015914917
23,-993.5662841796875,57.873050689697266,-887.75048828125,0.15000000596046448,0.8500000238418579,0.0,124.80000305175781,7.300000190734863,1.2213174104690552,-0.2125968635082245,0.42367544770240784,1.4000191688537598,-0.3646603226661682,-1.6698555946350098,5.598187446594238,3.0420219898223877
24,-958.9764404296875,75.12787628173828,-861.45703125,0.20000000298023224,0.800000011920929,0.0,137.10000610351562,6.199999809265137,1.2680292129516602,-0.17443588376045227,0.5045990943908691,1.4198188781738281,-0.5222002267837524,-1.711155891418457,5.759028434753418,3.212268829345703
25,-900.4432373046875,42.49696350097656,-821.9059448242188,0.25,0.75,0.0,141.6999969482422,6.0,1.2030123472213745,0.039026498794555664,0.703332781791687,1.4081778526306152,-0.7071268558502197,-1.6649410724639893,5.957271575927734,3.360410690307617
26,-989.4029541015625,45.10452651977539,-890.7923583984375,0.15000000596046448,0.8500000238418579,0.0,91.4000015258789,4.300000190734863,1.0582911968231201,-0.10356685519218445,0.8574399948120117,1.345462441444397,-0.679376482963562,-1.6635773181915283,6.097227573394775,3.358929395675659
27,-1080.166259765625,81.62702178955078,-951.7904052734375,0.10000000149011612,0.8999999761581421,0.0,115.4000015258789,4.900000095367432,1.2291549444198608,-0.05461860075592995,0.8492811322212219,1.2818233966827393,-0.8003849983215332,-1.6962521076202393,6.11734676361084,3.3407390117645264
28,-991.3665161132812,97.22822570800781,-813.3310546875,0.25,0.75,0.0,116.30000305175781,4.5,1.2578119039535522,0.051322709769010544,0.7449641227722168,1.3603909015655518,-0.7369964718818665,-1.7682064771652222,6.122216701507568,3.348829507827759
29,-1002.5311279296875,39.601932525634766,-915.6666259765625,0.15000000596046448,0.8500000238418579,0.0,146.3000030517578,6.25,1.1740416288375854,-0.06435257196426392,0.7477157711982727,1.426451325416565,-0.7446017265319824,-1.8062957525253296,6.234854221343994,3.3784289360046387
30,-966.4323120117188,72.34477233886719,-870.4996337890625,0.20000000298023224,0.800000011920929,0.0,133.6999969482422,5.150000095367432,1.1200881004333496,-0.1516036093235016,0.9118244647979736,1.5816980600357056,-0.813355565071106,-1.7804603576660156,6.311239242553711,3.5096983909606934
