iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6,v7,v8
1,-922.2288818359375,109.67134094238281,-706.7886962890625,0.44999998807907104,0.550000011920929,0.0,472.95001220703125,27.649999618530273,0.8824496865272522,0.9876512289047241,0.9467945098876953,0.9767472147941589,999.9375,0.9731669425964355,0.9882652163505554,-0.9548721313476562,2.3555147647857666
2,-769.911376953125,70.21026611328125,-640.9432373046875,0.550000011920929,0.44999998807907104,0.0,525.9500122070312,30.049999237060547,1.017543911933899,1.125002384185791,0.8122376799583435,1.0637298822402954,999.9668579101562,1.0113459825515747,0.9217133522033691,-0.8939785361289978,2.377143144607544
3,-815.95751953125,55.81576156616211,-700.6842041015625,0.5,0.5,0.0,517.8499755859375,28.0,0.9572958946228027,1.1234747171401978,0.7947210669517517,1.0606601238250732,999.905517578125,1.0511947870254517,0.9081352353096008,-0.961669921875,2.296940565109253
4,-808.1248779296875,69.43276977539062,-716.5821533203125,0.44999998807907104,0.550000011920929,0.0,513.75,29.950000762939453,1.0497288703918457,1.1123660802841187,0.8593416213989258,0.9461769461631775,999.974853515625,1.176092505455017,0.8503221869468689,-0.8825793862342834,2.2989892959594727
5,-770.731689453125,87.89185333251953,-582.5726318359375,0.6000000238418579,0.4000000059604645,0.0,577.75,34.95000076293945,1.0083144903182983,1.163267731666565,0.8989983797073364,1.0498701333999634,1000.0008544921875,1.2265654802322388,0.7743476629257202,-1.0503146648406982,2.2637007236480713
6,-843.5850830078125,56.136817932128906,-735.3289794921875,0.4000000059604645,0.6000000238418579,0.0,373.70001220703125,21.450000762939453,1.0456383228302002,1.123652696609497,0.8074809908866882,1.0765717029571533,999.988037109375,1.205449104309082,0.5651221871376038,-1.2372102737426758,2.483515739440918
7,-774.6328125,49.735958099365234,-691.8700561523438,0.44999998807907104,0.550000011920929,0.0,448.1000061035156,27.0,1.1201680898666382,1.1696332693099976,0.8527948260307312,1.1580524444580078,999.8943481445312,1.178013801574707,0.6921246647834778,-1.286159634590149,2.4445340633392334
8,-842.580810546875,49.19727325439453,-701.0926513671875,0.44999998807907104,0.550000011920929,0.0,445.5,26.25,1.2155412435531616,1.210533618927002,0.7957018613815308,1.105639100074768,999.7095336914062,1.0993248224258423,0.8874326944351196,-1.4362887144088745,2.4384543895721436
9,-800.4927368164062,71.19783782958984,-689.9181518554688,0.44999998807907104,0.550000011920929,0.0,470.6000061035156,28.75,1.2779523134231567,1.237605333328247,0.9457082748413086,1.0203953981399536,999.6773071289062,0.8649617433547974,0.9679344892501831,-1.4001682996749878,2.4679954051971436
10,-845.6683349609375,65.41056823730469,-690.6555786132812,0.5,0.5,0.0,476.75,25.899999618530273,1.319473147392273,1.3058809041976929,0.9769879579544067,1.0961802005767822,999.65234375,1.0602909326553345,0.9296306371688843,-1.3141615390777588,2.5684688091278076
11,-819.792236328125,68.52235412597656,-682.2974243164062,0.5,0.5,0.0,494.70001220703125,27.950000762939453,1.2957055568695068,1.4248595237731934,1.0838305950164795,0.8999864459037781,999.6555786132812,1.1223121881484985,0.7051012516021729,-1.36928129196167,2.595315456390381
12,-749.0550537109375,77.51900482177734,-560.1434326171875,0.6499999761581421,0.3499999940395355,0.0,620.7999877929688,37.0,1.3953964710235596,1.4201308488845825,1.066596508026123,0.7380852699279785,999.6528930664062,1.1827031373977661,0.6769018769264221,-1.3601027727127075,2.685431957244873
13,-771.62548828125,73.23844909667969,-646.3216552734375,0.5,0.5,0.0,485.25,30.049999237060547,1.462140440940857,1.3655625581741333,0.911655843257904,0.6962310671806335,999.6309204101562,1.1811223030090332,0.7867137789726257,-1.3927431106567383,2.7261762619018555
14,-789.110595703125,63.86425018310547,-646.1189575195312,0.550000011920929,0.44999998807907104,0.0,570.8499755859375,33.25,1.2950725555419922,1.3395121097564697,0.8232269287109375,0.6571411490440369,999.6611938476562,1.2302730083465576,0.7372808456420898,-1.4161076545715332,2.681539535522461
