iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2
1,82.4124984741211,24.818702697753906,101.0,0.0,0.0,1.0,100.0,20.100000381469727,4.338437080383301,0.8910778760910034,1.0574924945831299
2,75.22187805175781,7.919111728668213,86.5,0.0,0.0,1.0,100.0,18.649999618530273,4.43545389175415,0.7174312472343445,1.171146273612976
3,79.3499984741211,15.58035659790039,99.0,0.0,0.0,1.0,100.0,19.899999618530273,4.4839863777160645,0.7739315032958984,0.9683635234832764
4,82.875,3.1174910068511963,88.5,0.0,0.0,1.0,100.0,18.850000381469727,4.438905715942383,1.0728423595428467,1.0809247493743896
5,80.875,20.552143096923828,104.0,0.0,0.0,1.0,100.0,20.399999618530273,4.345368385314941,1.0806877613067627,1.0739476680755615
6,90.203125,5.779623985290527,99.5,0.0,0.0,1.0,100.0,19.950000762939453,4.335385322570801,1.3746857643127441,1.0489050149917603
7,87.40625,6.957951068878174,103.0,0.0,0.0,1.0,100.0,20.299999237060547,4.371236801147461,1.6030735969543457,0.9919004440307617
8,87.2562484741211,9.080642700195312,102.0,0.0,0.0,1.0,100.0,20.200000762939453,4.564347743988037,1.4741249084472656,1.170127272605896
9,70.265625,22.235031127929688,108.0,0.0,0.0,1.0,100.0,20.799999237060547,4.441287040710449,1.372001051902771,1.1850708723068237
10,66.80000305175781,26.96905517578125,103.5,0.0,0.0,1.0,100.0,20.350000381469727,4.540772914886475,1.3490749597549438,1.1411383152008057
11,95.140625,4.755316734313965,102.0,0.0,0.0,1.0,100.0,20.200000762939453,4.549101829528809,1.6911818981170654,1.1882083415985107
12,54.58125305175781,34.78006362915039,100.0,0.0,0.0,1.0,100.0,20.0,4.476963996887207,1.6116129159927368,1.1639134883880615
13,106.03125,5.692563056945801,116.5,0.0,0.0,1.0,100.0,21.649999618530273,4.659375190734863,1.7188749313354492,1.2090822458267212
14,98.203125,5.064982891082764,107.0,0.0,0.0,1.0,100.0,20.700000762939453,4.651783466339111,1.7296662330627441,1.2159897089004517
15,82.2093734741211,17.937902450561523,98.0,0.0,0.0,1.0,100.0,19.799999237060547,4.620523452758789,1.8910367488861084,1.1173990964889526
16,92.9593734741211,18.952205657958984,115.0,0.0,0.0,1.0,100.0,21.5,4.618857383728027,2.005345344543457,1.0656071901321411
17,98.21875,4.459781169891357,110.5,0.0,0.0,1.0,100.0,21.049999237060547,4.6949143409729,2.0382654666900635,0.9827697277069092
18,95.31562805175781,10.818650245666504,104.0,0.0,0.0,1.0,100.0,20.399999618530273,4.662118911743164,1.801253080368042,0.8412144184112549
19,103.78125,2.3911867141723633,109.0,0.0,0.0,1.0,100.0,20.899999618530273,4.659728527069092,1.9294238090515137,0.8433012962341309
20,98.66561889648438,11.301011085510254,110.5,0.0,0.0,1.0,100.0,21.049999237060547,4.626504421234131,1.6178306341171265,0.8958871364593506
21,94.7437515258789,10.432998657226562,108.5,0.0,0.0,1.0,100.0,20.850000381469727,4.59866189956665,1.7667535543441772,0.8328932523727417
22,88.39374542236328,18.651439666748047,106.5,0.0,0.0,1.0,100.0,20.649999618530273,4.558649063110352,1.8695284128189087,0.9700222611427307
23,83.49687194824219,20.236576080322266,103.0,0.0,0.0,1.0,100.0,20.299999237060547,4.713242530822754,1.9471867084503174,1.024693250656128
24,78.5625,19.052949905395508,107.5,0.0,0.0,1.0,100.0,20.75,4.630272388458252,2.0365166664123535,1.1095492839813232
25,74.984375,27.56131935119629,117.0,0.0,0.0,1.0,100.0,21.700000762939453,4.5674920082092285,2.0463626384735107,1.1295109987258911
26,109.53125,4.04068660736084,116.0,0.0,0.0,1.0,100.0,21.600000381469727,4.4882636070251465,1.9275225400924683,1.034889578819275
27,85.5687484741211,10.082672119140625,103.5,0.0,0.0,1.0,100.0,20.350000381469727,4.505757808685303,1.9674146175384521,0.9709867238998413
28,94.8687515258789,9.938039779663086,106.0,0.0,0.0,1.0,100.0,20.600000381469727,4.44810676574707,2.01183819770813,0.9147981405258179
29,96.42500305175781,14.171494483947754,106.5,0.0,0.0,1.0,100.0,20.649999618530273,4.462819576263428,2.030402660369873,0.8675810098648071
30,58.181251525878906,21.318235397338867,97.0,0.0,0.0,1.0,100.0,19.700000762939453,4.589455604553223,1.9353361129760742,0.7765653729438782
31,106.546875,8.886752128601074,117.0,0.0,0.0,1.0,100.0,21.700000762939453,4.614384651184082,1.8856711387634277,0.8242259621620178
32,95.921875,9.604287147521973,112.0,0.0,0.0,1.0,100.0,21.200000762939453,4.539743900299072,1.925034523010254,0.8094890117645264
33,97.2406234741211,7.136651515960693,108.0,0.0,0.0,1.0,100.0,20.799999237060547,4.557092189788818,1.726629614830017,0.8120108246803284
34,94.5562515258789,23.206262588500977,113.0,0.0,0.0,1.0,100.0,21.299999237060547,4.74302864074707,1.7069873809814453,0.8535017371177673
35,103.9375,3.622304916381836,109.5,0.0,0.0,1.0,100.0,20.950000762939453,4.646246910095215,1.6348786354064941,0.7840458750724792
36,84.50312042236328,17.096261978149414,104.5,0.0,0.0,1.0,100.0,20.450000762939453,4.493036270141602,1.7845048904418945,0.7859267592430115
37,93.234375,13.488990783691406,105.0,0.0,0.0,1.0,100.0,20.5,4.518532752990723,1.9303408861160278,0.5572389364242554
38,82.7249984741211,13.369906425476074,96.5,0.0,0.0,1.0,100.0,19.649999618530273,4.524031162261963,2.2180190086364746,0.4962001144886017
39,92.015625,6.374368190765381,100.0,0.0,0.0,1.0,100.0,20.0,4.434051990509033,2.1253364086151123,0.45981863141059875
